"","Mthin","wthin"
"1",2101,1.41136690101896
"2",2134,1.17520201005646
"3",2080,1.80074255935732
"4",2041,2.05446506770872
"5",2056,2.01509125174172
"6",2109,1.40256232973249
"7",2102,1.5375100360837
"8",2080,1.55291354765821
"9",2143,1.23954449825537
"10",2127,1.31007458620705
"11",2081,1.56280593565881
"12",2080,1.59449569981208
"13",2079,1.51215375391084
"14",2116,1.36270231740488
"15",2125,1.53868032785372
"16",2110,1.53997853019066
"17",2096,1.41488046204119
"18",2096,1.53760531967937
"19",2077,1.51996143851268
"20",2088,1.84710744631771
"21",2009,2.11323908529776
"22",2037,1.90234641385687
"23",2124,1.48968791209259
"24",2156,1.12133495421218
"25",2152,1.23604543457444
"26",2158,1.26603618184794
"27",2152,1.1564205512512
"28",2168,1.1363970006463
"29",2160,1.24413456649403
"30",2155,1.36320085174421
"31",2065,1.69469651783283
"32",2110,1.44886078287184
"33",2077,1.78473465348199
"34",2067,1.70733056369324
"35",2145,1.28026561994213
"36",2178,1.13745354638673
"37",2167,0.993676842640395
"38",2130,1.41925727872269
"39",2118,1.40825858010149
"40",2101,1.54668729950941
"41",2019,1.94896416153968
"42",2120,1.46992130243528
"43",2148,1.36996385606345
"44",2123,1.34749921555365
"45",2116,1.42866735233338
"46",2129,1.28755025540436
"47",2134,1.32428755345463
"48",2100,1.53337027098253
"49",2128,1.27032712908509
"50",2172,1.34698321498264
"51",2194,1.08575979535703
"52",2162,1.2388579781054
"53",2167,1.17664976894685
"54",2121,1.29695449193765
"55",2096,1.49702229147945
"56",2100,1.44402062851738
"57",2130,1.1905840593561
"58",2074,1.56432630290495
"59",2124,1.33652910612571
"60",2091,1.51901329973586
"61",2083,1.58746237381995
"62",2110,1.35868642476973
"63",2068,1.5442255062956
"64",2165,1.24984846033279
"65",2137,1.29649348850324
"66",2079,1.57405761384989
"67",2136,1.47688575318279
"68",2078,1.62509441372377
"69",2092,1.48458807844506
"70",2163,1.25157120237632
"71",2081,1.64177062167232
"72",2161,1.24060190862271
"73",2077,1.62548407536986
"74",2092,1.48577995054509
"75",2076,1.62172078813254
"76",2050,1.75017197814609
"77",2119,1.32672285192317
"78",2158,1.24367152621852
"79",2132,1.38597390495383
"80",2140,1.31496607087775
"81",2133,1.34577031174192
"82",2193,1.02823745478274
"83",2132,1.22961655114166
"84",2087,1.69206272190829
"85",2099,1.36792188158023
"86",2102,1.39646058457696
"87",2158,1.29964685873274
"88",2163,1.18655403561237
"89",2147,1.29692280997206
"90",2129,1.29274025475242
"91",2081,1.68659756678863
"92",2113,1.48875288492991
"93",2167,1.33467085826136
"94",2136,1.09525196672919
"95",2159,1.31242646841734
"96",2102,1.54878004386881
"97",2166,1.21379464707632
"98",2015,2.13815056995786
"99",2028,1.94552794026594
"100",2126,1.48147414935379
