"","Mthin","Nthin"
"1",369,1224
"2",593,1194
"3",650,1183
"4",712,1262
"5",481,1225
"6",500,1194
"7",568,1221
"8",488,1215
"9",497,1176
"10",395,1233
"11",540,1190
"12",354,1230
"13",564,1180
"14",591,1252
"15",507,1168
"16",539,1235
"17",536,1226
"18",527,1282
"19",500,1180
"20",382,1271
"21",585,1166
"22",366,1228
"23",551,1242
"24",418,1214
"25",607,1221
"26",346,1209
"27",601,1215
"28",395,1192
"29",496,1222
"30",525,1196
"31",477,1217
"32",530,1243
"33",397,1219
"34",567,1259
"35",537,1209
"36",468,1235
"37",533,1234
"38",476,1189
"39",457,1306
"40",415,1192
"41",483,1149
"42",464,1231
"43",539,1216
"44",627,1237
"45",538,1171
"46",516,1217
"47",446,1201
"48",420,1222
"49",466,1145
"50",382,1209
"51",630,1254
"52",480,1181
"53",417,1184
"54",607,1223
"55",403,1226
"56",516,1221
"57",517,1164
"58",793,1256
"59",623,1247
"60",544,1188
"61",504,1272
"62",681,1279
"63",510,1239
"64",473,1163
"65",631,1230
"66",719,1246
"67",541,1203
"68",451,1267
"69",275,1132
"70",634,1209
"71",536,1235
"72",693,1201
"73",633,1202
"74",409,1236
"75",496,1198
"76",487,1181
"77",393,1171
"78",550,1242
"79",562,1208
"80",613,1274
"81",529,1204
"82",449,1203
"83",554,1232
"84",410,1253
"85",459,1223
"86",513,1202
"87",577,1216
"88",588,1268
"89",343,1307
"90",637,1220
"91",437,1171
"92",544,1170
"93",459,1138
"94",378,1168
"95",550,1242
"96",437,1195
"97",719,1285
"98",349,1195
"99",600,1205
"100",497,1243
"101",482,1221
"102",652,1237
"103",534,1208
"104",477,1238
"105",430,1178
"106",515,1189
"107",560,1223
"108",467,1188
"109",587,1239
"110",460,1230
"111",691,1145
"112",546,1217
"113",594,1207
"114",442,1222
"115",332,1151
"116",478,1197
"117",479,1216
"118",518,1234
"119",431,1245
"120",477,1237
"121",585,1254
"122",671,1209
"123",526,1250
"124",556,1180
"125",557,1231
"126",385,1186
"127",374,1264
"128",490,1246
"129",558,1229
"130",428,1189
"131",630,1307
"132",657,1221
"133",579,1229
"134",610,1164
"135",683,1213
"136",639,1245
"137",449,1195
"138",358,1253
"139",619,1150
"140",615,1237
"141",406,1255
"142",568,1218
"143",573,1216
"144",467,1191
"145",465,1225
"146",524,1194
"147",476,1225
"148",515,1228
"149",655,1233
"150",535,1203
"151",485,1199
"152",372,1215
"153",343,1198
"154",476,1261
"155",635,1205
"156",630,1268
"157",401,1238
"158",427,1219
"159",345,1190
"160",697,1176
