"","Mthin","Nthin"
"1",468,1230
"2",531,1195
"3",542,1190
"4",629,1169
"5",658,1159
"6",853,1243
"7",533,1200
"8",649,1169
"9",658,1196
"10",592,1190
"11",525,1152
"12",494,1208
"13",556,1166
"14",517,1204
"15",662,1156
"16",634,1226
"17",600,1143
"18",626,1210
"19",551,1201
"20",560,1256
"21",564,1189
"22",578,1184
"23",382,1150
"24",582,1191
"25",636,1217
"26",455,1209
"27",706,1097
"28",495,1277
"29",684,1197
"30",459,1190
"31",779,1191
"32",649,1217
"33",587,1201
"34",500,1148
"35",590,1159
"36",555,1211
"37",432,1264
"38",574,1215
"39",625,1216
"40",514,1152
"41",516,1162
"42",729,1217
"43",634,1151
"44",723,1198
"45",633,1122
"46",542,1146
"47",737,1144
"48",444,1111
"49",476,1218
"50",533,1110
"51",691,1181
"52",374,1124
"53",379,1179
"54",512,1148
"55",662,1128
"56",650,1220
"57",404,1217
"58",651,1183
"59",905,1238
"60",763,1212
"61",733,1174
"62",669,1236
"63",522,1162
"64",565,1201
"65",542,1220
"66",467,1124
"67",721,1226
"68",668,1194
"69",490,1237
"70",549,1200
"71",462,1127
"72",604,1180
"73",537,1167
"74",547,1157
"75",569,1181
"76",560,1194
"77",423,1205
"78",594,1129
"79",719,1192
"80",548,1136
"81",563,1202
"82",697,1187
"83",454,1182
"84",659,1233
"85",544,1069
"86",245,1217
"87",517,1206
"88",708,1204
"89",620,1242
"90",517,1197
"91",520,1176
"92",445,1245
"93",655,1214
"94",598,1179
"95",590,1242
"96",601,1156
"97",601,1164
"98",579,1168
"99",680,1214
"100",578,1200
"101",388,1131
"102",554,1145
"103",429,1163
"104",505,1161
"105",554,1223
"106",615,1183
"107",568,1179
"108",615,1230
"109",521,1147
"110",650,1222
"111",536,1237
"112",629,1168
"113",572,1178
"114",738,1193
"115",627,1194
"116",667,1173
"117",743,1179
"118",475,1171
"119",594,1137
"120",564,1183
"121",454,1207
"122",560,1233
"123",625,1185
"124",661,1243
"125",511,1152
"126",636,1225
"127",484,1160
"128",589,1197
"129",531,1209
"130",330,1191
"131",450,1236
"132",543,1236
"133",670,1175
"134",635,1169
"135",566,1219
"136",586,1223
"137",500,1150
"138",611,1230
"139",540,1190
"140",559,1154
"141",534,1132
"142",708,1148
"143",705,1188
"144",425,1168
"145",504,1215
"146",595,1168
"147",537,1206
"148",631,1174
"149",500,1231
"150",524,1222
"151",764,1243
"152",821,1208
"153",516,1188
"154",646,1157
"155",474,1190
"156",557,1186
"157",665,1268
"158",623,1165
"159",632,1243
"160",387,1158
"161",620,1220
"162",473,1183
"163",652,1178
"164",534,1204
"165",798,1171
"166",591,1192
"167",591,1149
"168",699,1231
"169",635,1201
"170",643,1147
"171",825,1201
"172",651,1170
"173",585,1174
"174",530,1126
"175",577,1218
"176",534,1150
"177",633,1162
"178",537,1234
"179",555,1231
"180",679,1221
"181",586,1125
"182",800,1187
"183",652,1111
"184",539,1179
"185",548,1189
"186",428,1199
"187",537,1131
"188",616,1130
"189",525,1183
"190",438,1192
"191",652,1211
"192",640,1167
"193",653,1223
"194",541,1146
"195",499,1209
"196",593,1119
"197",535,1190
"198",617,1220
"199",679,1245
"200",589,1153
"201",553,1159
"202",424,1137
"203",498,1157
"204",539,1187
"205",442,1149
"206",629,1172
"207",532,1180
"208",522,1271
"209",667,1230
"210",626,1193
"211",469,1230
"212",621,1187
"213",587,1135
"214",790,1165
"215",615,1159
"216",501,1137
"217",785,1253
"218",573,1256
"219",498,1204
"220",521,1223
"221",739,1244
"222",425,1228
"223",738,1235
"224",669,1200
"225",482,1156
"226",582,1236
"227",745,1181
"228",653,1205
"229",471,1192
"230",471,1256
"231",738,1239
"232",677,1129
"233",737,1163
"234",500,1117
"235",645,1223
"236",509,1186
"237",675,1192
"238",540,1198
"239",616,1137
"240",633,1174
"241",520,1149
"242",518,1137
"243",506,1222
"244",590,1176
"245",462,1160
"246",640,1220
"247",562,1218
"248",534,1215
"249",550,1170
"250",629,1184
"251",400,1110
"252",464,1249
"253",632,1148
"254",634,1116
"255",674,1210
"256",489,1254
"257",493,1175
"258",664,1172
"259",598,1213
"260",609,1186
"261",722,1220
"262",555,1139
"263",470,1206
"264",665,1231
"265",693,1213
"266",652,1206
"267",426,1215
"268",572,1187
"269",772,1193
"270",724,1165
"271",745,1221
"272",475,1154
"273",681,1133
"274",593,1127
"275",723,1169
"276",680,1203
"277",513,1143
"278",511,1228
"279",582,1233
"280",716,1206
