"","Mthin","Nthin"
"1",680,2891
"2",988,2919
"3",857,2882
"4",836,2886
"5",812,2820
"6",623,2868
"7",804,2968
"8",892,2844
"9",789,2826
"10",685,2837
"11",638,2911
"12",663,2921
"13",924,2768
"14",759,2828
"15",809,2892
"16",796,2798
"17",894,2791
"18",678,2792
"19",810,2827
"20",791,2834
"21",807,2958
"22",643,2846
"23",823,2801
"24",844,2864
"25",1002,2853
"26",1011,2853
"27",843,2789
"28",869,2811
"29",736,2743
"30",963,2936
"31",804,2837
"32",665,2822
"33",624,2851
"34",887,2820
"35",847,2781
"36",741,2895
"37",872,2909
"38",776,2905
"39",705,2857
"40",566,2862
"41",1011,2894
"42",858,2791
"43",789,2864
"44",879,2746
"45",764,2785
"46",886,2782
"47",710,2863
"48",632,2896
"49",722,2728
"50",607,2783
"51",926,2927
"52",714,2835
"53",703,2787
"54",773,2751
"55",790,2771
"56",620,2887
"57",900,2822
"58",900,2829
"59",754,2813
"60",1178,2856
"61",845,2790
"62",705,2821
"63",830,2760
"64",995,2867
"65",634,2846
"66",982,2852
"67",936,2919
"68",646,2849
"69",780,2859
"70",911,2834
"71",942,2978
"72",620,2855
"73",641,2854
"74",739,2827
"75",704,2821
"76",956,2833
"77",780,2812
"78",913,2836
"79",725,2851
"80",748,2926
"81",1123,2943
"82",650,2951
"83",762,2925
"84",718,2783
"85",578,2882
"86",734,2878
"87",756,2848
"88",1025,2900
"89",856,2859
"90",685,2891
"91",689,2823
"92",898,2889
"93",787,2821
"94",816,2863
"95",836,2697
"96",827,2828
"97",793,2886
"98",817,2815
"99",950,2881
"100",813,2786
"101",639,2793
"102",616,2821
"103",736,2789
"104",683,2837
"105",858,2805
"106",786,2819
"107",862,2796
"108",661,2783
"109",894,2821
"110",601,2847
"111",774,2816
"112",952,2885
"113",849,2846
"114",1033,2819
"115",576,2876
"116",704,2904
"117",630,2841
"118",830,2857
"119",689,2803
"120",702,2861
"121",893,2859
"122",847,2729
"123",957,2858
"124",631,2947
"125",661,2852
"126",735,2793
"127",847,2879
"128",956,2826
"129",653,2850
"130",983,2919
"131",754,2924
"132",954,2884
"133",736,2881
"134",857,2877
"135",803,2960
"136",754,2873
"137",935,2779
"138",767,2840
"139",747,2795
"140",563,2763
"141",943,2888
"142",926,2924
"143",610,2776
"144",673,2822
"145",1158,2854
"146",785,2847
"147",865,2833
"148",746,2876
"149",620,2893
"150",651,2856
"151",748,2847
"152",753,2950
"153",823,2852
"154",606,2778
"155",733,2844
"156",1028,2904
"157",849,2850
"158",854,2892
"159",625,2906
"160",730,2778
"161",609,2861
"162",654,2871
"163",590,2922
"164",823,2814
"165",811,2872
"166",714,2735
"167",980,2838
"168",774,2892
"169",800,2847
"170",845,2828
"171",911,2753
"172",1006,2850
"173",745,2809
"174",631,2867
"175",937,2962
"176",877,2834
"177",964,2921
"178",901,2932
"179",727,2831
"180",913,2874
"181",1156,2865
"182",669,2887
"183",848,2842
"184",939,2720
"185",721,2959
"186",849,2781
"187",867,2980
"188",735,2836
"189",814,2861
"190",666,2943
"191",510,2841
"192",755,2828
"193",704,2888
"194",636,2849
"195",911,2757
"196",1045,2835
"197",740,2822
"198",878,2848
"199",543,2801
"200",672,2925
"201",839,2839
"202",918,2893
"203",902,2809
"204",592,2869
"205",932,2880
"206",835,2816
"207",703,2893
"208",568,2891
"209",877,2889
"210",952,2792
"211",846,2912
"212",750,2858
"213",673,2821
"214",690,2883
"215",713,2821
"216",840,2913
"217",914,2799
"218",893,2848
"219",681,2930
"220",392,2779
"221",897,2753
"222",933,2914
"223",755,2806
"224",913,2792
"225",855,2815
"226",625,2773
"227",847,2897
"228",780,2908
"229",870,2863
"230",728,2847
"231",876,2916
"232",897,2948
"233",688,2872
"234",801,2803
"235",710,2814
"236",778,2873
"237",644,2963
"238",871,2808
"239",712,2800
"240",778,2815
"241",776,2984
"242",1011,2903
"243",639,2807
"244",909,2908
"245",735,2782
"246",1054,2898
"247",882,2891
"248",1031,2853
"249",898,2710
"250",784,2773
"251",755,2798
"252",942,2820
"253",676,2911
"254",635,2855
"255",545,2840
"256",687,2822
"257",1022,2923
"258",844,2842
"259",683,2827
"260",858,2895
"261",854,2817
"262",720,2850
"263",872,2881
"264",765,2899
"265",881,2845
