"","Mthin","Nthin"
"1",769,2498
"2",797,2473
"3",884,2518
"4",1015,2555
"5",1013,2451
"6",1037,2452
"7",971,2543
"8",979,2590
"9",1064,2475
"10",838,2457
"11",857,2468
"12",730,2537
"13",754,2440
"14",1005,2403
"15",1035,2459
"16",991,2520
"17",900,2432
"18",927,2425
"19",924,2547
"20",900,2458
"21",881,2466
"22",870,2580
"23",672,2477
"24",845,2434
"25",955,2494
"26",1108,2483
"27",1051,2483
"28",889,2423
"29",914,2444
"30",899,2380
"31",947,2560
"32",885,2468
"33",782,2454
"34",742,2481
"35",819,2452
"36",845,2416
"37",889,2522
"38",1016,2535
"39",923,2531
"40",752,2487
"41",713,2549
"42",974,2507
"43",714,2501
"44",569,2518
"45",652,2450
"46",1032,2450
"47",880,2487
"48",833,2521
"49",758,2519
"50",845,2485
"51",789,2469
"52",1017,2387
"53",1104,2453
"54",885,2400
"55",1069,2525
"56",867,2486
"57",879,2486
"58",984,2504
"59",984,2498
"60",892,2419
"61",892,2424
"62",1016,2466
"63",791,2446
"64",935,2513
"65",749,2484
"66",719,2499
"67",970,2468
"68",865,2513
"69",767,2517
"70",882,2489
"71",750,2405
"72",900,2463
"73",843,2503
"74",861,2487
"75",949,2470
"76",882,2431
"77",700,2504
"78",747,2510
"79",752,2499
"80",845,2511
"81",983,2423
"82",1088,2468
"83",771,2452
"84",999,2477
"85",857,2363
"86",779,2458
"87",928,2483
"88",804,2488
"89",832,2445
"90",994,2476
"91",764,2462
"92",773,2491
"93",952,2522
"94",866,2516
"95",728,2423
"96",714,2504
"97",942,2437
"98",815,2529
"99",934,2473
"100",1164,2451
"101",637,2423
"102",741,2399
"103",1003,2510
"104",855,2541
"105",879,2446
"106",917,2480
"107",848,2450
"108",791,2479
"109",836,2502
"110",875,2489
"111",751,2425
"112",949,2451
"113",862,2465
"114",1138,2487
"115",968,2488
"116",1027,2458
"117",1143,2466
"118",734,2455
"119",938,2405
"120",809,2472
"121",906,2506
"122",901,2544
"123",856,2476
"124",1032,2558
"125",801,2427
"126",857,2469
"127",849,2439
"128",852,2493
"129",997,2482
"130",891,2491
"131",991,2549
"132",824,2549
"133",990,2460
"134",933,2431
"135",967,2490
"136",872,2503
"137",995,2409
"138",1084,2479
"139",829,2517
"140",976,2453
"141",888,2399
"142",1156,2421
"143",1028,2480
"144",771,2451
"145",889,2519
"146",1241,2484
