"","Mthin","Nthin"
"1",2847,8190
"2",2543,8050
"3",2683,8083
"4",2735,8190
"5",2588,8201
"6",2812,8532
"7",2545,8192
"8",2455,8131
"9",3509,8207
"10",2765,8125
"11",2765,8244
"12",2507,8192
"13",2583,8145
"14",2949,8242
"15",2568,8157
"16",2717,8133
"17",2312,8056
"18",2869,8197
"19",2753,8119
"20",2870,8245
"21",2842,8222
"22",2811,8331
"23",2789,8148
"24",2512,8107
"25",2900,8175
"26",2500,8257
"27",2929,8052
"28",2810,8165
"29",2939,8143
"30",2804,8346
"31",2918,8182
"32",2723,8090
"33",2642,8304
"34",2502,8186
"35",2966,8111
"36",2870,8143
"37",3112,8162
"38",2553,8204
"39",2800,8310
"40",2549,8229
"41",2549,8167
"42",2709,8185
"43",2467,8117
"44",3120,8242
"45",2561,8041
"46",2561,8106
"47",3224,8101
"48",2586,8238
"49",2354,8296
"50",2624,8010
"51",2697,8103
"52",2510,8347
"53",2206,8191
"54",2574,8109
"55",2608,8058
"56",2666,8301
"57",2540,8292
"58",3107,8202
"59",3107,8279
"60",2671,8277
"61",2901,8178
"62",2901,8343
"63",2838,8148
"64",2895,8251
"65",2761,8262
"66",2459,8048
"67",2853,8316
"68",3171,8231
"69",2209,8344
"70",2706,8248
"71",2563,8055
"72",2813,8194
"73",2606,8160
"74",2651,8133
"75",2753,8198
"76",2647,8231
"77",2446,8260
"78",2681,8060
"79",2719,8227
"80",2775,8078
"81",3126,8253
"82",2932,8214
"83",2255,8200
"84",2922,8334
"85",2383,8145
"86",2439,8291
"87",2615,8263
"88",2681,8258
"89",2884,8358
"90",3208,8097
"91",2446,8184
"92",2443,8365
"93",3248,8283
"94",2703,8191
"95",3180,8357
"96",2769,8131
"97",2980,8152
"98",2376,8162
"99",2639,8283
"100",2979,8247
"101",2743,8066
"102",2796,8101
"103",2810,8151
"104",2588,8144
"105",2661,8306
"106",2721,8059
"107",2319,8191
"108",2573,8128
"109",2939,8316
"110",2426,8221
"111",2661,8090
"112",2755,8289
"113",2831,8257
"114",2662,8219
"115",3088,8309
"116",2934,8194
"117",2847,8150
"118",2417,8225
"119",2918,8225
"120",2562,8110
"121",3093,8111
"122",3043,8197
"123",2533,8208
"124",2671,8287
"125",2819,8249
"126",2752,8261
"127",2758,8143
"128",2765,8240
"129",2641,8221
"130",2740,8236
"131",2841,8342
"132",2746,8343
"133",2933,8181
"134",2789,8127
"135",3042,8236
"136",2492,8258
"137",3035,8087
"138",2962,8215
"139",2898,8284
"140",2698,8168
"141",2274,8069
"142",2978,8109
"143",2728,8216
"144",2484,8163
"145",2523,8287
"146",3270,8224
"147",2583,8263
"148",2811,8178
"149",2396,8328
"150",2396,8304
"151",2685,8361
"152",2830,8180
"153",2466,8214
"154",2453,8248
"155",2702,8332
"156",2406,8211
"157",3047,8426
"158",3047,8154
"159",2727,8091
"160",2641,8135
"161",2871,8300
"162",2180,8202
"163",2735,8161
"164",2725,8342
"165",2831,8192
"166",2798,8285
"167",2898,8305
"168",2812,7955
"169",2729,8089
"170",2546,8206
"171",2473,8091
"172",2997,8224
"173",2862,8326
"174",2892,8223
"175",2690,8347
"176",2913,8424
"177",2760,8405
"178",3065,8086
"179",3261,8238
"180",2720,8236
"181",2791,8191
"182",3310,8349
"183",2905,8086
"184",2477,8193
"185",2813,8219
"186",2490,8244
"187",2444,8066
"188",2680,8062
"189",2695,8202
"190",2289,8225
"191",2813,8190
"192",2508,8227
"193",2600,8121
"194",2698,8308
"195",2412,8175
"196",3250,8189
"197",2891,8199
"198",2805,8409
"199",2900,8158
"200",3162,8338
"201",3039,8237
"202",2432,8251
"203",2588,8380
"204",3014,8151
"205",2319,8260
"206",2986,8347
"207",2641,8337
"208",2812,8175
"209",2937,8143
"210",2922,8208
"211",2756,8361
"212",2425,8122
"213",3018,8317
"214",2727,8114
"215",2727,8245
"216",3329,8263
"217",3100,8387
"218",2706,8078
"219",3140,8359
"220",2510,8281
"221",2698,8163
"222",2841,8199
"223",2773,8075
"224",2672,8287
"225",2421,8169
"226",2832,8167
"227",2832,8395
