"","Mthin","Nthin"
"1",2846,7310
"2",2529,7181
"3",2839,7325
"4",2695,7228
"5",2695,7392
"6",2762,7248
"7",2529,7501
"8",2673,7442
"9",2786,7325
"10",2738,7369
"11",2738,7553
"12",2145,7370
"13",2518,7433
"14",2501,7456
"15",2911,7330
"16",2720,7288
"17",3035,7525
"18",2856,7455
"19",2602,7284
"20",2299,7324
"21",3059,7374
"22",2976,7491
"23",3035,7388
"24",2875,7340
"25",2961,7277
"26",2490,7155
"27",3111,7379
"28",2793,7471
"29",2906,7305
"30",2868,7419
"31",2886,7459
"32",2716,7447
"33",2534,7316
"34",2518,7492
"35",2603,7326
"36",2844,7350
"37",3055,7555
"38",2792,7367
"39",2782,7288
"40",2540,7379
"41",2383,7323
"42",2940,7391
"43",2225,7244
"44",2634,7423
"45",2464,7276
"46",3010,7366
"47",2429,7501
"48",2817,7517
"49",2382,7412
"50",2624,7418
"51",2680,7486
"52",2516,7457
"53",2620,7309
"54",2945,7455
"55",2601,7446
"56",2919,7486
"57",2654,7286
"58",3047,7387
"59",2437,7417
"60",2553,7230
"61",2927,7427
"62",2932,7358
"63",2956,7476
"64",2618,7490
"65",2723,7425
"66",2933,7426
"67",2589,7433
"68",3183,7513
"69",2462,7316
"70",2765,7311
"71",2640,7247
"72",2256,7530
"73",2728,7359
"74",2878,7556
"75",3297,7457
"76",3323,7414
"77",2571,7299
"78",2489,7446
"79",2740,7436
"80",2423,7233
"81",2574,7277
"82",3113,7329
"83",2522,7252
"84",2358,7307
"85",2673,7308
"86",2423,7303
"87",2586,7284
"88",2643,7458
"89",2820,7367
"90",3101,7499
"91",2215,7258
"92",2433,7349
"93",2607,7389
"94",2435,7388
"95",3125,7468
"96",3039,7173
"97",2952,7410
"98",2484,7489
"99",2487,7417
"100",3268,7552
"101",2779,7498
"102",2386,7379
"103",3085,7330
"104",2762,7387
"105",2826,7236
"106",2608,7364
"107",2946,7435
"108",2571,7288
"109",2128,7371
"110",2776,7330
"111",2598,7430
"112",2617,7471
"113",2444,7361
"114",2818,7307
"115",2702,7609
"116",2861,7424
"117",2877,7397
"118",2387,7221
"119",2466,7417
"120",2593,7315
"121",2720,7356
"122",2899,7344
"123",2640,7435
"124",2761,7261
"125",2764,7451
"126",3014,7427
"127",2574,7467
"128",2960,7420
"129",2861,7311
"130",2716,7502
"131",2835,7315
"132",2481,7414
"133",2722,7414
"134",2597,7385
"135",2912,7422
"136",2904,7296
"137",2921,7461
"138",2859,7370
"139",2803,7256
"140",2930,7373
"141",2573,7428
"142",3166,7251
"143",2743,7435
"144",2717,7321
"145",2913,7435
"146",2348,7359
"147",2480,7392
"148",2652,7513
"149",2432,7552
"150",2651,7372
"151",2920,7458
"152",2855,7371
"153",2538,7442
"154",2898,7234
"155",3131,7492
"156",2445,7363
"157",2883,7275
"158",3044,7430
"159",2651,7540
"160",2579,7378
"161",2722,7390
"162",2188,7421
"163",2721,7260
"164",2712,7322
"165",2804,7385
"166",2468,7292
"167",3173,7459
"168",3353,7502
"169",3026,7459
"170",2825,7298
"171",3090,7355
"172",2841,7423
"173",2778,7276
"174",2774,7347
"175",2590,7341
"176",2459,7217
"177",3019,7335
"178",2771,7332
"179",2985,7415
"180",2678,7429
"181",2746,7377
"182",2592,7398
"183",2715,7331
"184",3175,7423
"185",2488,7202
"186",2762,7434
"187",2851,7350
"188",2772,7343
"189",2390,7419
"190",3002,7309
"191",2933,7292
"192",2633,7370
"193",2705,7375
"194",2706,7356
"195",2457,7397
"196",3187,7421
"197",2785,7513
"198",2355,7478
"199",2600,7517
"200",2863,7552
"201",2715,7367
"202",2421,7414
"203",2791,7345
"204",2893,7362
"205",2322,7281
"206",2930,7605
"207",2904,7411
"208",2770,7469
"209",2852,7421
"210",2787,7386
"211",2768,7190
"212",2529,7288
"213",2670,7443
"214",2715,7422
"215",2538,7325
"216",2577,7273
"217",3515,7537
"218",2854,7329
"219",2886,7354
"220",2477,7425
"221",2763,7465
"222",2995,7364
"223",2868,7373
"224",2533,7421
"225",2475,7371
"226",2968,7316
"227",2852,7290
"228",2491,7379
"229",2559,7480
"230",2322,7378
"231",2330,7291
"232",2706,7462
"233",2605,7190
"234",2495,7324
"235",2661,7285
"236",2851,7395
"237",2607,7287
"238",2941,7451
"239",2680,7546
"240",3140,7393
"241",2734,7325
"242",2620,7337
"243",2801,7312
"244",2812,7181
"245",3022,7326
"246",2799,7450
"247",2989,7475
"248",3222,7326
"249",2673,7227
"250",2599,7346
"251",3003,7182
"252",2257,7387
"253",2750,7305
"254",3135,7462
"255",2987,7108
"256",2363,7314
"257",2409,7417
"258",2765,7407
"259",2502,7369
"260",2376,7241
"261",2574,7302
"262",2452,7293
"263",2774,7433
"264",2265,7370
"265",2829,7484
"266",2366,7385
