"","Mthin","Nthin"
"1",664,2360
"2",930,2339
"3",710,2418
"4",596,2461
"5",808,2409
"6",642,2507
"7",768,2487
"8",609,2436
"9",581,2452
"10",727,2485
"11",599,2454
"12",723,2354
"13",732,2323
"14",599,2361
"15",791,2448
"16",796,2399
"17",802,2387
"18",797,2365
"19",735,2374
"20",604,2406
"21",655,2383
"22",660,2403
"23",425,2437
"24",617,2405
"25",700,2400
"26",593,2373
"27",775,2372
"28",677,2411
"29",740,2423
"30",424,2275
"31",766,2411
"32",570,2318
"33",1033,2322
"34",510,2460
"35",508,2473
"36",663,2446
"37",567,2433
"38",605,2440
"39",674,2355
"40",644,2471
"41",538,2468
"42",737,2405
"43",631,2486
"44",775,2375
"45",1002,2337
"46",831,2416
"47",724,2438
"48",591,2393
"49",623,2381
"50",552,2421
"51",572,2312
"52",739,2403
"53",624,2370
"54",618,2439
"55",865,2497
"56",693,2463
"57",533,2448
"58",757,2518
"59",578,2374
"60",571,2372
"61",822,2463
"62",773,2448
"63",600,2394
"64",713,2408
"65",851,2397
"66",656,2491
"67",615,2398
"68",854,2364
"69",489,2338
"70",694,2345
"71",515,2390
"72",837,2509
"73",766,2415
"74",860,2481
"75",706,2392
"76",541,2433
"77",735,2479
"78",632,2364
"79",690,2427
"80",538,2361
"81",836,2400
"82",750,2421
"83",559,2373
"84",667,2326
"85",715,2475
"86",430,2406
"87",665,2390
"88",1025,2452
"89",800,2428
"90",647,2425
"91",574,2355
"92",637,2422
"93",844,2403
"94",723,2388
"95",904,2436
"96",524,2380
"97",739,2343
"98",613,2442
"99",594,2425
"100",795,2403
"101",703,2433
"102",554,2380
"103",453,2405
"104",793,2462
"105",638,2345
"106",611,2351
"107",736,2415
"108",686,2394
"109",888,2362
"110",768,2435
"111",525,2404
"112",670,2491
"113",797,2428
"114",742,2411
"115",888,2474
"116",633,2413
"117",615,2453
"118",667,2371
"119",680,2444
"120",714,2380
"121",556,2367
"122",787,2347
"123",563,2275
"124",559,2348
"125",689,2374
"126",616,2391
"127",644,2421
"128",698,2392
"129",742,2422
"130",499,2485
"131",652,2539
"132",600,2435
"133",705,2402
"134",541,2406
"135",734,2400
"136",753,2388
"137",455,2543
"138",809,2497
"139",648,2374
"140",838,2386
"141",466,2321
"142",784,2337
"143",604,2355
"144",485,2352
"145",533,2505
"146",731,2316
"147",689,2310
"148",748,2480
"149",616,2477
"150",500,2359
"151",713,2403
"152",601,2392
"153",650,2423
"154",552,2446
"155",417,2414
"156",624,2431
"157",699,2465
"158",637,2406
"159",707,2419
"160",854,2466
"161",827,2364
"162",630,2261
"163",648,2356
"164",636,2369
"165",772,2371
"166",617,2448
"167",696,2480
"168",833,2437
"169",854,2473
"170",728,2429
"171",680,2431
"172",552,2401
"173",839,2458
"174",840,2380
"175",619,2424
"176",424,2455
"177",696,2366
"178",805,2383
"179",606,2377
"180",935,2389
"181",741,2379
"182",721,2557
"183",586,2378
"184",637,2343
"185",812,2420
"186",608,2353
"187",817,2386
"188",569,2335
"189",715,2467
"190",693,2376
"191",568,2443
"192",673,2432
"193",641,2337
