"","Mthin","Nthin"
"1",524,1244
"2",540,1292
"3",493,1235
"4",541,1233
"5",429,1244
"6",554,1167
"7",610,1209
"8",740,1250
"9",623,1228
"10",589,1289
"11",540,1193
"12",420,1273
"13",612,1231
"14",521,1157
"15",615,1241
"16",612,1253
"17",683,1281
"18",491,1270
"19",431,1217
"20",518,1233
"21",638,1275
"22",503,1202
"23",398,1123
"24",613,1199
"25",484,1216
"26",565,1304
"27",616,1143
"28",589,1171
"29",624,1259
"30",291,1220
"31",462,1265
"32",621,1214
"33",669,1205
"34",511,1176
"35",564,1184
"36",520,1159
"37",613,1225
"38",545,1136
"39",494,1212
"40",503,1216
"41",600,1235
"42",410,1231
"43",453,1243
"44",451,1196
"45",498,1196
"46",714,1222
"47",562,1245
"48",428,1244
"49",492,1220
"50",426,1209
"51",593,1151
"52",613,1198
"53",590,1160
"54",550,1250
"55",563,1249
"56",452,1245
"57",650,1211
"58",650,1240
"59",547,1240
"60",743,1202
"61",672,1265
"62",507,1190
"63",556,1230
"64",528,1248
"65",444,1152
"66",729,1254
"67",670,1222
"68",471,1266
"69",537,1228
"70",441,1164
"71",631,1217
"72",452,1195
"73",552,1184
"74",575,1209
"75",566,1222
"76",414,1233
"77",527,1156
"78",621,1220
"79",487,1163
"80",504,1230
"81",655,1215
"82",424,1210
"83",655,1261
"84",502,1095
"85",355,1245
"86",516,1234
"87",532,1232
"88",457,1175
"89",481,1225
"90",484,1204
"91",401,1274
"92",634,1242
"93",504,1207
"94",419,1270
"95",583,1183
"96",582,1192
"97",558,1195
"98",671,1242
"99",559,1228
"100",347,1159
"101",530,1172
"102",392,1191
"103",460,1211
"104",485,1251
"105",659,1211
"106",646,1207
"107",523,1258
"108",519,1174
"109",588,1251
"110",460,1265
"111",604,1196
"112",539,1206
"113",741,1221
"114",616,1222
"115",660,1201
"116",743,1207
"117",445,1199
"118",578,1164
"119",546,1211
"120",421,1235
"121",541,1261
"122",508,1213
"123",636,1271
"124",564,1179
"125",580,1149
"126",534,1188
"127",536,1225
"128",472,1237
"129",684,1219
"130",647,1265
"131",506,1265
"132",647,1203
"133",608,1197
"134",531,1248
"135",556,1252
"136",460,1178
"137",583,1258
"138",610,1218
"139",553,1181
"140",525,1159
"141",721,1175
"142",498,1216
"143",432,1196
"144",520,1243
"145",773,1219
"146",556,1234
"147",662,1201
"148",525,1259
"149",502,1250
"150",680,1272
"151",823,1236
"152",483,1216
"153",628,1184
"154",438,1218
"155",531,1214
"156",566,1297
"157",583,1192
"158",563,1168
"159",428,1185
"160",561,1248
"161",397,1211
"162",596,1206
"163",595,1232
"164",783,1199
"165",552,1220
"166",660,1176
"167",707,1268
"168",505,1230
"169",390,1160
"170",426,1274
"171",602,1195
"172",617,1217
"173",409,1200
"174",482,1232
"175",701,1256
"176",558,1148
"177",613,1263
"178",507,1217
"179",730,1170
"180",625,1175
"181",794,1238
"182",470,1295
"183",596,1214
"184",659,1197
"185",595,1226
"186",632,1138
"187",473,1225
"188",599,1218
"189",561,1170
"190",549,1212
"191",398,1199
"192",503,1183
"193",521,1144
"194",473,1177
"195",623,1212
"196",538,1263
"197",456,1238
"198",681,1241
"199",433,1154
"200",622,1256
"201",595,1218
"202",483,1286
"203",640,1213
"204",421,1265
"205",580,1272
"206",495,1201
"207",610,1290
"208",728,1210
"209",676,1257
"210",667,1216
"211",648,1242
"212",611,1192
"213",579,1175
"214",472,1206
"215",620,1241
"216",572,1259
"217",625,1307
"218",728,1212
"219",695,1226
"220",560,1202
"221",577,1257
"222",650,1202
"223",544,1195
"224",619,1282
"225",621,1290
"226",635,1214
"227",610,1214
"228",563,1181
"229",349,1201
"230",530,1215
"231",420,1260
"232",731,1204
"233",528,1202
"234",460,1202
"235",322,1194
"236",482,1301
"237",504,1234
"238",606,1245
"239",579,1202
"240",396,1217
"241",512,1217
"242",748,1196
"243",684,1188
"244",583,1245
"245",706,1241
"246",603,1232
"247",493,1204
"248",521,1215
"249",639,1191
"250",391,1214
"251",519,1200
"252",646,1191
"253",524,1185
"254",545,1199
"255",411,1211
"256",614,1202
"257",665,1199
"258",680,1186
"259",454,1202
"260",527,1238
"261",539,1247
"262",656,1210
"263",586,1207
"264",495,1210
"265",416,1215
"266",405,1149
"267",533,1245
"268",608,1290
"269",652,1233
"270",655,1186
"271",412,1213
"272",495,1227
"273",647,1255
"274",777,1218
"275",666,1230
"276",517,1265
"277",466,1275
"278",682,1262
"279",648,1183
"280",668,1249
"281",560,1231
"282",521,1265
"283",622,1218
"284",623,1216
"285",404,1186
"286",546,1190
"287",576,1242
"288",436,1277
"289",725,1256
"290",685,1222
"291",385,1216
"292",695,1296
"293",613,1179
"294",258,1283
"295",551,1253
"296",506,1230
"297",641,1230
"298",528,1185
"299",468,1199
"300",526,1249
"301",570,1215
"302",677,1250
"303",715,1270
"304",562,1227
"305",561,1262
"306",531,1177
"307",593,1209
"308",541,1172
"309",623,1211
"310",436,1248
"311",760,1243
"312",648,1186
"313",628,1179
"314",639,1214
"315",492,1194
"316",457,1234
"317",547,1201
"318",459,1220
"319",504,1243
"320",384,1161
"321",527,1171
"322",366,1198
"323",509,1262
"324",560,1158
"325",794,1254
"326",578,1211
"327",618,1221
"328",689,1192
"329",655,1278
"330",626,1276
"331",506,1166
"332",622,1274
"333",447,1230
"334",523,1184
"335",504,1182
"336",606,1232
"337",521,1182
"338",552,1247
"339",662,1171
"340",634,1244
"341",489,1252
"342",464,1209
"343",606,1223
"344",534,1168
"345",706,1234
"346",610,1231
"347",522,1209
"348",515,1197
"349",588,1245
"350",576,1243
"351",544,1238
"352",529,1165
"353",566,1250
"354",631,1187
"355",478,1129
"356",584,1252
"357",358,1194
"358",482,1193
"359",617,1194
"360",524,1246
"361",524,1249
"362",581,1177
"363",450,1147
"364",601,1250
"365",563,1264
"366",572,1194
"367",391,1161
"368",573,1205
"369",677,1246
"370",448,1221
"371",655,1239
"372",601,1199
"373",491,1233
"374",618,1243
"375",375,1284
"376",586,1174
"377",711,1230
"378",655,1259
"379",436,1230
"380",453,1247
"381",697,1212
"382",694,1229
"383",394,1222
"384",533,1208
"385",580,1197
"386",631,1203
"387",468,1213
"388",652,1220
"389",515,1260
"390",555,1245
"391",470,1156
"392",584,1234
"393",549,1250
"394",600,1260
"395",764,1209
"396",594,1214
"397",603,1287
"398",455,1180
"399",541,1233
"400",504,1210
"401",531,1086
"402",557,1181
"403",598,1221
"404",518,1280
"405",492,1204
"406",578,1210
"407",630,1171
"408",580,1219
"409",307,1209
"410",530,1274
"411",759,1206
"412",746,1194
"413",554,1252
"414",608,1211
"415",509,1188
"416",639,1226
"417",712,1187
"418",358,1195
"419",437,1202
"420",656,1235
"421",431,1259
"422",542,1235
"423",593,1229
"424",538,1263
"425",706,1237
"426",536,1137
"427",435,1184
"428",629,1278
"429",422,1226
"430",357,1146
"431",415,1180
"432",676,1193
"433",458,1234
"434",511,1241
"435",738,1252
"436",594,1202
"437",414,1206
"438",727,1240
"439",552,1200
"440",534,1205
"441",624,1232
"442",489,1243
"443",715,1249
"444",438,1242
"445",520,1217
"446",436,1168
"447",480,1232
"448",590,1226
"449",705,1255
"450",558,1127
"451",524,1193
"452",597,1182
"453",389,1224
"454",543,1251
"455",656,1217
"456",509,1229
"457",528,1215
"458",641,1212
"459",536,1215
"460",725,1280
"461",723,1233
"462",532,1200
"463",740,1252
"464",378,1214
"465",445,1185
"466",604,1198
"467",508,1179
"468",528,1242
"469",649,1242
"470",729,1249
"471",489,1194
"472",446,1197
"473",649,1229
"474",459,1200
"475",643,1157
"476",478,1193
"477",572,1220
"478",608,1195
"479",563,1218
"480",676,1215
"481",850,1259
"482",437,1222
"483",722,1275
"484",474,1253
"485",659,1236
"486",663,1201
"487",554,1242
"488",586,1185
"489",656,1165
"490",538,1257
"491",481,1226
"492",468,1175
"493",394,1155
"494",500,1211
"495",715,1310
"496",530,1243
"497",555,1171
"498",540,1228
"499",544,1234
"500",753,1279
"501",716,1229
