"","Mthin","Nthin"
"1",555,1646
"2",632,1606
"3",645,1600
"4",749,1576
"5",848,1564
"6",809,1588
"7",756,1611
"8",775,1576
"9",842,1607
"10",873,1601
"11",676,1556
"12",573,1621
"13",647,1572
"14",766,1617
"15",834,1560
"16",799,1642
"17",717,1546
"18",750,1623
"19",748,1613
"20",837,1677
"21",699,1599
"22",710,1593
"23",470,1553
"24",714,1601
"25",776,1631
"26",554,1622
"27",862,1493
"28",604,1701
"29",836,1608
"30",561,1600
"31",952,1601
"32",793,1631
"33",717,1612
"34",611,1551
"35",723,1564
"36",680,1624
"37",530,1686
"38",703,1629
"39",767,1630
"40",632,1556
"41",691,1567
"42",908,1631
"43",751,1554
"44",860,1609
"45",758,1521
"46",646,1550
"47",883,1547
"48",717,1608
"49",570,1633
"50",640,1507
"51",890,1590
"52",763,1656
"53",657,1587
"54",648,1551
"55",832,1528
"56",772,1635
"57",560,1631
"58",777,1592
"59",599,1626
"60",615,1625
"61",944,1581
"62",826,1654
"63",645,1568
"64",742,1613
"65",601,1635
"66",610,1524
"67",852,1642
"68",984,1604
"69",587,1655
"70",659,1612
"71",553,1527
"72",716,1588
"73",634,1573
"74",625,1562
"75",651,1590
"76",693,1604
"77",526,1617
"78",737,1529
"79",890,1603
"80",681,1537
"81",699,1614
"82",864,1597
"83",567,1591
"84",819,1650
"85",712,1460
"86",407,1631
"87",678,1619
"88",695,1617
"89",748,1661
"90",868,1546
"91",619,1584
"92",527,1664
"93",781,1627
"94",712,1587
"95",618,1660
"96",770,1560
"97",769,1570
"98",650,1574
"99",870,1628
"100",746,1611
"101",514,1532
"102",715,1547
"103",595,1569
"104",688,1566
"105",707,1638
"106",738,1592
"107",683,1587
"108",743,1559
"109",674,1642
"110",705,1600
"111",595,1542
"112",753,1630
"113",839,1616
"114",758,1599
"115",869,1639
"116",548,1588
"117",647,1569
"118",591,1559
"119",681,1603
"120",689,1599
"121",552,1568
"122",796,1543
"123",760,1565
"124",992,1661
"125",670,1602
"126",763,1608
"127",572,1556
"128",784,1624
"129",817,1590
"130",644,1616
"131",771,1626
"132",655,1632
"133",809,1518
"134",764,1630
"135",811,1650
"136",732,1570
"137",651,1554
"138",749,1646
"139",662,1600
"140",736,1558
"141",698,1533
"142",912,1551
"143",667,1598
"144",595,1575
"145",691,1629
"146",973,1602
"147",734,1619
"148",805,1581
"149",653,1648
"150",598,1556
"151",871,1662
"152",1028,1620
"153",656,1597
"154",704,1562
"155",495,1600
"156",596,1596
"157",763,1691
"158",712,1571
"159",783,1661
"160",485,1562
"161",690,1635
"162",512,1592
"163",656,1574
"164",540,1654
"165",721,1587
"166",713,1628
"167",831,1637
"168",886,1657
"169",663,1542
"170",679,1593
"171",571,1543
"172",765,1601
"173",873,1600
"174",743,1595
"175",565,1595
"176",876,1584
"177",782,1640
"178",664,1600
"179",633,1565
"180",872,1619
"181",794,1625
"182",979,1598
"183",624,1637
"184",808,1613
"185",832,1619
"186",798,1581
"187",802,1559
"188",626,1569
"189",616,1693
"190",723,1603
"191",781,1578
"192",632,1573
"193",694,1588
"194",635,1606
"195",583,1631
"196",748,1615
"197",645,1620
"198",769,1608
"199",792,1658
"200",791,1632
"201",759,1626
"202",789,1575
"203",604,1583
"204",774,1654
"205",534,1585
"206",509,1610
"207",575,1559
"208",694,1548
"209",792,1624
"210",796,1707
"211",737,1658
"212",599,1648
"213",667,1595
"214",615,1679
"215",616,1633
"216",836,1613
"217",784,1616
"218",636,1702
"219",760,1593
"220",682,1675
"221",613,1590
"222",711,1640
"223",914,1629
"224",786,1649
"225",782,1653
"226",785,1598
"227",801,1542
"228",757,1600
"229",723,1641
"230",461,1573
"231",686,1559
"232",566,1588
"233",819,1584
"234",656,1565
"235",581,1581
"236",609,1565
"237",700,1616
"238",816,1664
"239",828,1625
"240",621,1513
"241",592,1601
"242",755,1568
"243",611,1635
"244",713,1580
"245",557,1605
"246",932,1626
"247",750,1646
"248",575,1593
"249",661,1623
"250",521,1566
"251",818,1571
"252",776,1642
"253",597,1635
"254",745,1613
"255",660,1590
"256",755,1599
"257",628,1608
"258",723,1579
"259",634,1628
"260",655,1559
"261",809,1571
"262",779,1666
"263",757,1619
"264",727,1561
"265",716,1576
"266",834,1578
"267",610,1630
"268",674,1571
"269",628,1635
"270",898,1563
"271",795,1553
"272",593,1584
"273",693,1563
"274",721,1583
"275",713,1681
"276",827,1621
"277",762,1642
"278",609,1592
"279",696,1652
"280",835,1689
"281",697,1631
"282",689,1613
"283",784,1561
"284",768,1581
"285",779,1582
"286",625,1649
"287",697,1580
"288",723,1657
"289",734,1543
"290",571,1664
"291",894,1609
"292",543,1549
"293",700,1551
"294",683,1615
"295",393,1613
"296",763,1602
"297",723,1557
"298",820,1555
"299",729,1614
"300",767,1596
"301",578,1601
"302",725,1578
"303",842,1586
"304",709,1531
"305",858,1631
"306",584,1512
"307",684,1595
"308",765,1536
"309",769,1569
"310",797,1569
"311",639,1692
"312",647,1624
"313",577,1596
"314",810,1634
"315",796,1618
"316",930,1624
"317",537,1585
"318",554,1640
"319",588,1597
"320",757,1654
"321",899,1596
"322",619,1630
"323",922,1663
"324",716,1559
"325",789,1536
"326",667,1645
"327",728,1675
"328",713,1630
"329",798,1588
"330",757,1635
"331",595,1576
"332",889,1620
"333",770,1603
"334",828,1595
"335",912,1641
"336",660,1620
"337",720,1662
"338",636,1638
"339",670,1612
"340",681,1553
"341",804,1583
"342",665,1555
"343",756,1621
"344",756,1561
"345",798,1618
"346",866,1676
"347",593,1611
"348",667,1629
"349",758,1645
"350",734,1548
"351",631,1554
"352",775,1496
"353",716,1571
"354",815,1620
"355",691,1603
"356",945,1559
"357",801,1601
"358",759,1707
"359",803,1545
"360",757,1625
"361",702,1691
"362",802,1610
"363",697,1576
"364",696,1617
"365",690,1568
"366",754,1629
"367",808,1570
"368",478,1618
"369",834,1639
"370",608,1639
"371",613,1582
"372",550,1526
"373",698,1558
"374",772,1634
"375",668,1591
"376",808,1589
"377",880,1676
"378",821,1628
"379",814,1644
"380",519,1560
"381",585,1563
"382",768,1575
"383",775,1576
"384",635,1574
"385",740,1602
"386",835,1546
"387",743,1630
"388",852,1595
"389",586,1584
"390",641,1658
"391",776,1637
"392",612,1607
"393",565,1551
"394",782,1541
"395",744,1582
"396",932,1579
"397",703,1652
"398",880,1620
"399",840,1612
"400",708,1599
"401",578,1630
"402",614,1560
"403",809,1583
"404",754,1522
"405",574,1583
"406",694,1598
"407",634,1550
"408",502,1625
"409",914,1614
"410",803,1559
"411",418,1657
"412",714,1614
"413",914,1520
"414",737,1611
"415",825,1619
"416",776,1583
"417",663,1604
"418",845,1603
"419",591,1560
"420",761,1648
"421",847,1628
"422",839,1591
"423",797,1596
"424",785,1581
"425",551,1614
"426",684,1598
"427",639,1658
"428",757,1596
"429",708,1564
"430",793,1588
"431",598,1674
"432",693,1591
"433",828,1617
"434",745,1561
"435",561,1630
"436",680,1627
"437",829,1671
"438",755,1563
"439",576,1593
"440",705,1591
"441",611,1550
"442",542,1634
"443",809,1607
"444",661,1621
"445",656,1580
"446",627,1558
"447",647,1618
"448",562,1558
"449",712,1533
"450",845,1598
"451",824,1647
"452",515,1570
"453",759,1606
"454",619,1595
"455",571,1625
"456",855,1652
"457",708,1619
"458",811,1646
"459",807,1545
"460",681,1602
"461",796,1610
"462",662,1548
"463",845,1689
"464",712,1603
"465",764,1592
"466",610,1647
"467",960,1641
"468",717,1581
"469",672,1590
"470",652,1611
"471",682,1621
"472",645,1604
"473",763,1549
"474",823,1626
"475",667,1527
"476",751,1620
"477",871,1650
"478",738,1657
"479",594,1638
"480",689,1602
"481",807,1570
"482",746,1583
"483",610,1609
"484",735,1551
"485",626,1572
"486",740,1663
"487",600,1580
"488",485,1594
"489",667,1548
"490",675,1635
"491",838,1580
"492",650,1692
"493",722,1601
"494",635,1589
"495",657,1603
"496",422,1529
"497",800,1588
"498",710,1686
"499",774,1481
"500",696,1577
"501",802,1581
