"","Mthin","Nthin"
"1",3863,7269
"2",3609,7519
"3",3641,7283
"4",3455,7187
"5",3455,7350
"6",3542,7206
"7",3240,7459
"8",3426,7400
"9",3572,7283
"10",3621,7328
"11",3631,7511
"12",3340,7328
"13",3285,7391
"14",3063,7413
"15",3594,7288
"16",3284,7247
"17",3787,7483
"18",4007,7413
"19",3470,7242
"20",3076,7282
"21",3603,7332
"22",3521,7449
"23",3663,7346
"24",3227,7298
"25",3790,7236
"26",3180,7113
"27",3263,7337
"28",3619,7429
"29",3220,7263
"30",3987,7377
"31",3617,7417
"32",3398,7405
"33",3163,7275
"34",3142,7450
"35",3610,7285
"36",3724,7308
"37",3746,7513
"38",3615,7325
"39",3602,7247
"40",3288,7337
"41",3317,7281
"42",3428,7349
"43",3224,7202
"44",3224,7381
"45",3545,7316
"46",3545,7324
"47",4062,7459
"48",3342,7142
"49",3081,7370
"50",3395,7376
"51",3468,7444
"52",3210,7415
"53",3344,7267
"54",3421,7413
"55",3374,7404
"56",3435,7444
"57",3678,7244
"58",3613,7345
"59",3744,7375
"60",3425,7188
"61",3427,7385
"62",3905,7316
"63",3466,7433
"64",3385,7447
"65",3521,7383
"66",3415,7384
"67",3340,7391
"68",3531,7233
"69",3768,7274
"70",3643,7269
"71",3444,7205
"72",3726,7488
"73",3292,7273
"74",3343,7514
"75",3650,7415
"76",4184,7372
"77",3623,7257
"78",3380,7404
"79",3705,7394
"80",3294,7191
"81",3489,7235
"82",3857,7287
"83",2931,7210
"84",3249,7265
"85",3537,7266
"86",3213,7262
"87",3425,7242
"88",3500,7416
"89",3729,7325
"90",3854,7457
"91",3056,7216
"92",3086,7308
"93",3602,7347
"94",3379,7346
"95",3841,7426
"96",3453,7131
"97",3191,7368
"98",3652,7447
"99",3453,7375
"100",3571,7242
"101",3313,7456
"102",3411,7337
"103",3427,7288
"104",3831,7345
"105",3314,7194
"106",3487,7322
"107",3533,7393
"108",3644,7247
"109",3843,7329
"110",3764,7288
"111",3534,7388
"112",3319,7283
"113",3768,7319
"114",3577,7265
"115",3608,7566
"116",3572,7381
"117",3675,7355
"118",3087,7280
"119",3189,7375
"120",3352,7273
"121",3662,7509
"122",3741,7431
"123",3405,7393
"124",3561,7220
"125",3565,7409
"126",3651,7384
"127",3649,7424
"128",3654,7378
"129",3527,7270
"130",3339,7459
"131",3868,7469
"132",3410,7372
"133",3410,7372
"134",3404,7343
"135",3812,7379
"136",3782,7254
"137",3804,7419
"138",3675,7328
"139",3604,7215
"140",3768,7331
"141",3371,7386
"142",3679,7209
"143",3558,7392
"144",3524,7279
"145",3778,7393
"146",3327,7317
"147",3497,7350
"148",3357,7470
"149",3384,7510
"150",3667,7330
"151",3510,7416
"152",3552,7329
"153",3556,7400
"154",3508,7192
"155",3821,7450
"156",3379,7321
"157",3393,7233
"158",3472,7388
"159",3627,7497
"160",3185,7336
"161",3371,7348
"162",3650,7419
"163",3463,7218
"164",3740,7399
"165",3562,7343
"166",3562,7251
"167",3683,7417
"168",3917,7460
"169",3601,7417
"170",3491,7256
"171",4038,7313
"172",3716,7381
"173",3635,7235
"174",3629,7305
"175",3390,7299
"176",3366,7176
"177",3764,7293
"178",3444,7290
"179",3697,7373
"180",3450,7387
"181",3530,7335
"182",3330,7356
"183",3490,7289
"184",3583,7381
"185",3570,7160
"186",3577,7392
"187",3693,7308
"188",3433,7301
"189",3345,7377
"190",3491,7267
"191",3401,7250
"192",3581,7328
"193",3362,7333
"194",3472,7315
"195",3150,7355
"196",3929,7379
"197",3409,7065
"198",3522,7436
"199",3481,7475
"200",3460,7509
"201",3460,7325
"202",3079,7372
"203",3716,7303
"204",3441,7320
"205",3486,7354
"206",3486,7563
"207",3602,7369
"208",3764,7427
"209",3352,7134
"210",3305,7344
"211",3460,7149
"212",3150,7246
"213",3334,7401
"214",3433,7379
"215",3430,7283
"216",3310,7231
"217",3876,7405
"218",3455,7287
"219",3892,7312
"220",3142,7364
"221",3513,7423
"222",3813,7322
"223",3649,7331
"224",3215,7379
"225",3231,7329
"226",3434,7274
"227",3696,7248
"228",3503,7337
"229",3581,7438
"230",3275,7336
"231",3448,7249
"232",3119,7420
"233",3459,7148
"234",3438,7282
"235",3653,7243
"236",3398,7353
"237",3426,7245
"238",3413,7409
"239",3428,7504
"240",4023,7351
"241",3496,7283
"242",3348,7295
"243",3583,7271
"244",3597,7139
"245",3819,7332
"246",3532,7408
"247",3721,7432
"248",4051,7284
"249",3368,7186
"250",3272,7304
"251",3795,7140
"252",3196,7345
"253",3550,7263
"254",3815,7419
"255",3623,7067
"256",3063,7272
"257",3568,7375
"258",3506,7365
"259",3574,7327
"260",3411,7199
"261",3175,7261
"262",3494,7323
"263",3336,7391
"264",3232,7328
"265",3765,7442
"266",3388,7343
"267",3228,7339
"268",3092,7381
"269",3831,7372
"270",3473,7292
"271",3718,7345
"272",3724,7407
"273",3410,7273
"274",3634,7298
"275",3577,7320
"276",3882,7346
"277",3275,7266
"278",3519,7410
"279",3436,7347
"280",3650,7226
"281",3118,7210
"282",3459,7434
"283",3581,7239
"284",3441,7209
"285",3641,7236
"286",3062,7350
"287",3709,7409
"288",3660,7163
"289",3386,7396
"290",3864,7514
"291",3600,7377
"292",3730,7263
"293",3165,7309
"294",3202,7432
"295",3505,7353
"296",3477,7316
"297",3331,7384
"298",3813,7406
"299",3425,7191
"300",3411,7341
"301",3593,7358
"302",3665,7350
"303",3457,7272
"304",3354,7492
"305",3183,7341
"306",3817,7209
"307",3965,7480
"308",3889,7450
"309",3700,7433
"310",3517,7260
"311",3821,7352
"312",3359,7324
"313",3378,7284
"314",3496,7396
"315",3539,7399
"316",3583,7326
"317",3860,7389
"318",3370,7380
"319",3521,7373
"320",3642,7437
"321",3447,7246
"322",3303,7362
"323",3709,7493
"324",3529,7395
"325",3423,7332
"326",3108,7276
"327",3659,7286
"328",3450,7454
"329",3509,7381
"330",3338,7219
"331",3561,7424
"332",3428,7551
"333",3723,7214
"334",3795,7424
"335",3530,7304
"336",3530,7339
"337",3092,7225
"338",3497,7369
"339",3250,7408
"340",3412,7416
"341",3173,7312
"342",3324,7307
"343",3137,7231
"344",3269,7324
"345",3499,7352
"346",3542,7326
"347",3585,7276
"348",3725,7405
"349",3439,7213
"350",3164,7413
"351",3272,7262
"352",3678,7227
"353",3648,7394
"354",3533,7315
"355",3909,7258
"356",3819,7474
"357",3641,7373
"358",3834,7330
"359",3612,7421
"360",3370,7331
"361",3738,7354
"362",3409,7165
"363",3312,7361
"364",3834,7330
"365",3877,7402
"366",3806,7368
"367",3643,7306
"368",3398,7308
"369",3457,7443
"370",3245,7350
"371",3441,7325
"372",3441,7418
"373",3348,7238
"374",3580,7290
"375",3354,7196
"376",3354,7239
"377",3354,7272
"378",3655,7344
"379",3295,7189
"380",3612,7366
"381",3292,7302
"382",3820,7177
"383",3553,7374
"384",3260,7356
"385",3039,7390
"386",3316,7354
"387",3314,7017
"388",3530,7327
"389",3530,7371
"390",3514,7321
"391",3442,7259
"392",3442,7296
"393",3311,7373
"394",3301,7333
"395",3562,7358
"396",3562,7281
"397",3451,7355
"398",3843,7320
"399",3303,7394
"400",3515,7400
"401",3502,7168
"402",3632,7382
"403",3661,7253
"404",3180,7459
"405",3672,7449
"406",3717,7428
"407",3943,7315
"408",3043,7395
"409",4091,7367
"410",3744,7135
"411",3512,7489
"412",3628,7440
"413",3747,7307
"414",3405,7376
"415",3537,7379
"416",3263,7181
"417",3797,7397
"418",3761,7320
"419",3863,7256
"420",3234,7307
"421",3764,7397
"422",3699,7369
"423",3588,7265
"424",3481,7181
"425",3526,7433
"426",3347,7166
"427",3478,7247
"428",3661,7325
"429",3921,7497
"430",3586,7463
"431",3446,7445
"432",3854,7393
"433",3481,7436
"434",3212,7326
"435",3254,7294
"436",3776,7240
"437",3538,7343
"438",3810,7411
"439",2903,7322
"440",3309,7178
"441",3441,7235
"442",3160,7341
"443",3632,7337
"444",3586,7415
"445",3389,7463
"446",3682,7284
"447",3197,7401
"448",3475,7309
"449",3096,7194
"450",3424,7533
"451",3407,7317
"452",4009,7275
"453",3986,7373
"454",3695,7412
"455",3349,7314
"456",3279,7550
"457",3335,7316
"458",3506,7250
"459",3571,7358
"460",3672,7516
"461",3388,7270
"462",3740,7393
"463",3315,7427
"464",3372,7333
"465",3462,7279
"466",3357,7313
"467",3512,7295
"468",3823,7280
"469",3622,7357
"470",3749,7324
"471",3359,7348
"472",3203,7412
"473",3643,7369
"474",3337,7195
"475",3346,7265
"476",3786,7312
"477",3544,7342
"478",3711,7321
"479",3198,7181
"480",3797,7341
"481",3625,7274
"482",3267,7300
"483",3721,7356
"484",3549,7233
"485",3222,7277
"486",4119,7664
"487",3640,7295
"488",3241,7324
"489",3423,7226
"490",3196,7413
"491",3502,7295
"492",3411,7534
"493",3324,7340
"494",3290,7314
"495",3436,7344
"496",3337,7185
"497",3270,7311
"498",3636,7521
"499",3913,7370
"500",3574,7289
"501",3278,7296
