"","Mthin","Nthin"
"1",1690,9321
"2",1836,9058
"3",1718,8951
"4",1718,9133
"5",1775,8972
"6",2218,9254
"7",1650,9188
"8",1762,9058
"9",1723,9107
"10",1730,9312
"11",1237,9108
"12",1546,9178
"13",1533,9203
"14",1873,9064
"15",1713,9017
"16",1974,9281
"17",1824,9202
"18",1479,9012
"19",1553,9057
"20",1872,9113
"21",1803,9243
"22",1870,9128
"23",1971,9075
"24",1807,9005
"25",1416,8869
"26",1933,9118
"27",1669,9221
"28",1762,9035
"29",1902,9163
"30",1665,9207
"31",1931,9193
"32",1490,9049
"33",2190,9244
"34",1667,9060
"35",1791,9086
"36",1966,9314
"37",1747,9105
"38",1736,9017
"39",1563,9118
"40",1659,9066
"41",1766,9036
"42",1583,8968
"43",1583,9167
"44",1443,9004
"45",1897,9103
"46",2130,9254
"47",1667,9272
"48",1258,9155
"49",1626,9161
"50",1514,9237
"51",1528,9205
"52",1615,9041
"53",1884,9203
"54",1598,9192
"55",1864,9237
"56",1645,9015
"57",1972,9127
"58",1465,9160
"59",1560,8952
"60",1560,9171
"61",1938,9088
"62",1892,9050
"63",1678,9179
"64",1341,9122
"65",1276,9151
"66",1832,9092
"67",2143,9177
"68",1543,9186
"69",1311,9131
"70",1642,8971
"71",1994,9081
"72",1716,9160
"73",1673,9127
"74",1867,9096
"75",1716,9021
"76",1629,9160
"77",1560,9173
"78",1769,9151
"79",1362,9174
"80",1845,9005
"81",2079,9091
"82",1588,9061
"83",2344,9108
"84",1638,9089
"85",1431,9072
"86",1762,9120
"87",1810,9131
"88",1957,9047
"89",2008,9106
"90",1496,9080
"91",1515,9136
"92",1724,9195
"93",1532,9184
"94",1221,9005
"95",1591,9160
"96",1867,9033
"97",1478,9208
"98",1746,9102
"99",2130,9060
"100",1264,9006
"101",1659,8960
"102",1669,9172
"103",1431,9128
"104",1576,9114
"105",1361,9135
"106",1694,9057
"107",1433,9112
"108",1569,9157
"109",1443,9064
"110",1352,9010
"111",1792,9059
"112",1541,9085
"113",2156,9128
"114",1776,9130
"115",1909,9073
"116",1846,9088
"117",1652,9207
"118",1612,9221
"119",1633,9099
"120",1884,9093
"121",1849,9177
"122",1633,9351
"123",1754,9097
"124",1757,9067
"125",1965,9159
"126",1605,9154
"127",1602,9138
"128",1932,9163
"129",1811,9059
"130",1884,9040
"131",1615,9157
"132",1751,9048
"133",1647,9205
"134",1910,9095
"135",1524,9074
"136",1994,9188
"137",2192,9105
"138",1623,8931
"139",1581,8997
"140",1808,9222
"141",1813,8942
"142",1837,9180
"143",1483,9230
"144",1511,9126
"145",1800,9123
"146",1509,9054
"147",1505,9147
