"","Mthin","Nthin"
"1",1934,6725
"2",2009,6741
"3",2102,6660
"4",2491,6712
"5",2805,6769
"6",2678,6687
"7",2279,6825
"8",2556,6777
"9",2291,6805
"10",2238,6861
"11",2118,6808
"12",2118,6641
"13",2498,6590
"14",2506,6652
"15",2199,6798
"16",2444,6716
"17",2200,6696
"18",2117,6660
"19",2263,6674
"20",2232,6727
"21",1979,6690
"22",2141,6736
"23",1489,6780
"24",2148,6726
"25",2172,6718
"26",2590,6716
"27",2234,6670
"28",2389,6736
"29",2106,6756
"30",1864,6509
"31",2346,6769
"32",2315,6693
"33",2112,6741
"34",2449,6803
"35",1708,6746
"36",2662,6789
"37",2419,6724
"38",2171,6784
"39",2171,6643
"40",1965,6675
"41",1896,6951
"42",2172,6681
"43",1971,6582
"44",2409,6775
"45",2062,6738
"46",2661,6788
"47",2423,6634
"48",2409,6742
"49",2153,6703
"50",2146,6917
"51",2316,6854
"52",2457,6785
"53",1741,6679
"54",2056,6763
"55",2662,6850
"56",2121,6755
"57",2223,6890
"58",2737,6915
"59",2360,6734
"60",2273,6834
"61",2103,6692
"62",2634,6592
"63",2247,6633
"64",2294,6711
"65",2590,6777
"66",2324,6722
"67",2283,6773
"68",2870,6738
"69",1753,6745
"70",2129,6620
"71",2058,6787
"72",2610,6626
"73",2368,6772
"74",2335,6703
"75",2441,6700
"76",1797,6718
"77",2364,6637
"78",2330,6549
"79",1979,6805
"80",1690,6652
"81",2456,6578
"82",2770,6752
"83",2241,6842
"84",2175,6817
"85",2555,6723
"86",2207,6623
"87",2186,6551
"88",2186,6729
"89",2488,6731
"90",2869,6784
"91",2428,6778
"92",2150,6680
"93",2260,6747
"94",2417,6717
"95",2266,6810
"96",2247,6693
"97",2479,6591
"98",1787,6690
"99",1770,6823
"100",2447,7017
"101",2296,6595
"102",2328,6756
"103",1527,6810
"104",2056,6705
"105",2085,6626
"106",1902,6688
"107",2011,6721
"108",2086,6644
"109",2084,6654
"110",2143,6731
"111",2159,6752
"112",2229,6766
"113",2407,6799
"114",2254,6739
"115",2638,6915
"116",2422,6747
"117",1866,6479
"118",2096,6707
"119",2096,6762
"120",1876,6834
"121",2803,6743
"122",2227,6736
"123",2163,6509
"124",2229,6840
"125",2412,6752
"126",2305,6702
"127",2284,6753
"128",2467,6705
"129",2302,6755
"130",2398,6609
"131",2450,6951
"132",2273,6777
"133",2157,6739
"134",2601,6756
"135",2326,6795
"136",2374,6724
"137",2432,6691
"138",2371,6846
"139",2371,6648
"140",2172,6836
"141",1713,6585
"142",2571,6840
"143",2214,6724
"144",1833,6638
"145",1806,6699
"146",1868,6577
"147",2337,6895
"148",2825,6620
"149",2077,6810
"150",2040,6795
"151",2350,6762
"152",2082,6821
"153",2247,6643
"154",2118,6710
"155",1848,6619
"156",1900,6762
"157",2627,6826
"158",2193,6727
"159",2430,6750
"160",2115,6696
"161",2572,6884
"162",2039,6799
"163",2403,6769
"164",2259,6769
"165",2251,6812
"166",2320,6786
"167",2640,6852
"168",2263,6876
"169",2191,6794
"170",2071,6852
"171",2236,6733
"172",2294,6845
"173",2113,6756
"174",2673,6670
"175",1992,6760
"176",2162,6905
"177",2434,6708
"178",2544,6842
"179",2364,6858
"180",2230,6703
"181",2311,6770
"182",1915,6801
"183",2759,6658
"184",2389,6834
"185",2647,6800
"186",2264,6733
"187",2672,6959
"188",1903,6767
"189",2580,6666
"190",2503,6731
"191",2126,6813
"192",2618,6658
"193",1934,6814
"194",2251,6751
"195",2349,6803
"196",2764,6864
"197",1864,6712
"198",1980,6777
"199",2017,6790
"200",2261,6744
"201",2742,6801
"202",2065,6720
"203",2087,6668
"204",2498,6705
"205",1829,6678
"206",2472,6852
"207",2277,6765
"208",2277,6742
"209",2812,6765
"210",2207,6769
"211",2177,6829
"212",2250,6902
"213",2242,6738
"214",2239,6763
"215",2177,6747
"216",2077,6740
"217",2444,6734
"218",2245,6788
"219",2633,6730
"220",2025,6765
"221",2394,6624
"222",1937,6629
"223",2014,6654
"224",1949,6733
"225",2618,6886
"226",2434,6770
"227",2045,6842
"228",2112,6722
"229",2215,6772
"230",2447,6844
"231",2274,6513
"232",2163,6722
"233",2323,6802
"234",2072,6712
"235",1921,6764
"236",1767,6678
"237",2404,6769
"238",2172,6908
"239",2272,6668
"240",1988,6656
"241",2460,6679
"242",1927,6721
"243",2222,6872
"244",1807,6749
"245",2116,6823
"246",2134,6628
"247",2907,6807
"248",2194,6796
"249",2623,6738
"250",2503,6518
"251",2703,6813
"252",1989,6653
"253",2399,6687
"254",2015,6827
"255",1831,6606
"256",1722,6718
"257",2129,6690
"258",2411,6845
"259",2403,6733
"260",2480,6837
"261",1840,6804
"262",2377,6682
"263",1827,6734
"264",2200,6781
"265",2115,6809
"266",2688,6726
"267",1764,6754
"268",2395,6799
"269",2507,6906
"270",2472,6749
"271",2137,6811
"272",2424,6841
"273",2231,6537
"274",2433,6877
"275",2693,6729
"276",1865,6804
"277",2229,6725
"278",2008,6745
"279",2092,6771
"280",2439,6649
"281",2680,6813
"282",2092,6790
"283",2156,6724
"284",2327,6776
"285",1992,6725
"286",2041,6641
"287",2335,6686
"288",2181,6770
"289",2589,6779
"290",2391,6705
"291",2278,6745
"292",2520,6716
"293",2244,6761
"294",2348,6856
"295",2272,6624
"296",2022,6765
"297",2306,6682
"298",2335,6705
"299",2323,6882
"300",2477,6718
"301",2030,6793
"302",2208,6745
"303",2120,6697
"304",1974,6699
"305",2167,6841
"306",2306,6856
"307",2148,6751
"308",2389,6663
"309",1901,6801
"310",2589,6723
"311",2202,6709
"312",2218,6952
"313",2080,6774
"314",2116,6823
"315",2658,6820
"316",1955,6653
"317",2083,6757
"318",2682,6732
"319",2422,6783
"320",2416,6740
"321",2312,6721
"322",2438,6797
"323",2089,6782
"324",2194,6684
"325",1926,6596
"326",2791,6817
"327",2013,6807
"328",2628,6695
"329",2388,6650
"330",2527,6723
"331",2544,6792
"332",2906,6679
"333",2394,6715
"334",1681,6807
"335",1638,6921
"336",2400,6647
"337",2430,6759
"338",2086,6640
"339",2027,6691
"340",2038,6612
"341",2392,6833
"342",1980,6798
"343",2040,6550
"344",2369,6838
"345",2077,6619
"346",1895,6817
"347",2517,6865
"348",2014,6841
"349",1868,6687
"350",2088,6688
"351",2324,6732
"352",2282,6825
"353",1861,6576
"354",2632,6811
"355",2384,6664
"356",2438,6770
"357",2172,6658
"358",2209,6702
"359",2242,6636
"360",2244,6628
"361",2182,6660
"362",2099,6753
"363",2070,6733
"364",2519,6799
"365",2189,6598
"366",2050,6860
"367",2382,6797
"368",2381,6733
"369",1984,6823
"370",1805,6753
"371",2615,6766
"372",2490,6727
"373",2908,6762
"374",2194,6805
"375",2213,6689
"376",1957,6733
"377",2618,6788
"378",2236,6594
"379",2261,6782
"380",1988,6634
"381",2225,6720
"382",2381,6736
"383",1968,6695
"384",2447,6748
"385",1853,6697
"386",2290,6761
"387",2075,6775
"388",2210,6836
"389",2226,6801
"390",2324,6876
"391",1987,6725
"392",1978,6659
"393",1525,6911
"394",2166,6799
"395",2701,6858
"396",2869,6662
"397",2811,6719
"398",2350,6790
"399",2391,6716
"400",2364,6851
"401",2325,6779
"402",2215,6690
"403",2054,6594
"404",2279,6844
"405",2391,6824
"406",2125,6605
"407",1910,6752
"408",2786,6922
"409",2489,6637
"410",2291,6790
"411",2277,6814
"412",2904,6880
"413",2356,6799
"414",2360,6776
"415",2126,6661
"416",2246,6716
"417",2364,6690
"418",2451,6656
"419",2302,6802
"420",2121,6589
"421",2222,6556
"422",2261,6747
"423",2255,6798
"424",2355,6669
"425",1704,6709
"426",2458,6896
"427",2278,6766
"428",1868,6889
"429",2259,6698
"430",2342,6659
"431",2286,6781
