"","Mthin","Nthin"
"1",1731,3728
"2",1880,3698
"3",1905,3753
"4",2107,3799
"5",2103,3671
"6",2140,3672
"7",2037,3784
"8",2049,3841
"9",2177,3700
"10",1830,3679
"11",1858,3692
"12",1790,3777
"13",1697,3658
"14",2086,3613
"15",1926,3681
"16",1977,3755
"17",1915,3648
"18",2129,3639
"19",1899,3788
"20",2097,3680
"21",1618,3689
"22",2095,3829
"23",1580,3703
"24",1846,3651
"25",2040,3723
"26",1936,3711
"27",1971,3711
"28",1912,3637
"29",2048,3662
"30",1851,3585
"31",2189,3804
"32",1825,3692
"33",1861,3675
"34",1715,3707
"35",2054,3673
"36",2005,3698
"37",2126,3670
"38",1846,3665
"39",1967,3754
"40",1860,3642
"41",1757,3694
"42",2091,3684
"43",1902,3873
"44",2051,3739
"45",2085,3685
"46",2142,3798
"47",2096,3786
"48",1968,3778
"49",1718,3798
"50",1853,3798
"51",1843,3770
"52",1494,3593
"53",1669,3650
"54",1833,3780
"55",2207,3630
"56",1916,3617
"57",1664,3749
"58",2081,3675
"59",2081,3682
"60",1863,3664
"61",2150,3714
"62",2015,3639
"63",2046,3674
"64",2026,3604
"65",2271,3726
"66",1734,3703
"67",2037,3709
"68",2130,3786
"69",1698,3706
"70",1940,3739
"71",1737,3598
"72",2073,3853
"73",1776,3713
"74",1807,3711
"75",1954,3681
"76",1934,3673
"77",1833,3687
"78",1951,3664
"79",2150,3691
"80",1869,3708
"81",1902,3794
"82",2459,3813
"83",1757,3822
"84",2044,3793
"85",2322,3798
"86",1537,3744
"87",1958,3739
"88",1991,3705
"89",2093,3764
"90",1906,3717
"91",1902,3753
"92",1968,3675
"93",2061,3751
"94",1897,3674
"95",1939,3722
"96",2192,3532
"97",1807,3682
"98",1761,3748
"99",1984,3667
"100",2090,3742
"101",2100,3634
"102",1725,3642
"103",1691,3674
"104",1871,3637
"105",1907,3692
"106",2049,3655
"107",1943,3672
"108",2056,3645
"109",1757,3630
"110",2102,3673
"111",1846,3703
"112",2065,3668
"113",1891,3747
"114",1561,3702
"115",2178,3671
"116",1833,3737
"117",1819,3662
"118",1710,3697
"119",1944,3715
"120",1860,3654
"121",1879,3719
"122",1961,3717
"123",1891,3569
"124",1960,3674
"125",2055,3816
"126",1984,3709
"127",1816,3642
"128",1983,3740
"129",2144,3679
"130",1692,3707
"131",2228,3785
"132",1887,3791
"133",2049,3745
"134",1961,3742
"135",2124,3738
"136",1775,3832
"137",2057,3733
"138",2114,3626
"139",1863,3696
"140",1833,3644
"141",1920,3608
"142",2199,3750
"143",2025,3747
"144",1690,3622
"145",1676,3674
"146",2051,3605
"147",1906,3704
"148",2026,3688
"149",1849,3737
"150",2020,3679
"151",2102,3713
"152",1876,3703
"153",1881,3760
"154",2020,3710
"155",1556,3624
"156",1597,3700
"157",2284,3768
"158",2016,3707
"159",2024,3754
"160",1683,3654
"161",1839,3625
"162",2156,3719
"163",1917,3731
"164",1799,3789
"165",1943,3665
"166",1926,3732
"167",1876,3576
"168",2119,3693
"169",1967,3755
"170",1875,3686
"171",2239,3728
"172",1997,3716
"173",1858,3682
"174",1888,3666
"175",1994,3702
"176",1962,3667
"177",2012,3713
"178",1786,3780
"179",1829,3715
"180",1674,3786
"181",1951,3747
"182",2455,3578
"183",2081,3682
"184",2128,3623
"185",2177,3711
"186",1923,3742
"187",1831,3700
"188",1705,3662
"189",1615,3697
"190",1834,3741
"191",1812,3764
"192",1962,3694
"193",1819,3671
"194",1934,3718
"195",1791,3756
"196",2211,3732
"197",2031,3740
"198",1927,3721
"199",1965,3797
"200",2029,3759
"201",1944,3749
"202",1863,3671
"203",1854,3684
"204",1952,3792
"205",1604,3686
"206",2043,3725
"207",1776,3692
"208",1966,3667
"209",1984,3657
"210",2102,3701
"211",1988,3734
"212",1717,3643
"213",2016,3774
"214",1758,3637
"215",1897,3726
"216",2198,3738
"217",2148,3821
"218",1951,3613
"219",1874,3802
"220",1874,3750
"221",1968,3671
"222",1765,3695
"223",2058,3789
"224",1948,3754
"225",1658,3675
"226",2012,3673
"227",1771,3826
"228",2077,3665
"229",1702,3764
"230",1649,3710
"231",2077,3725
"232",1794,3731
"233",2240,3708
"234",1673,3658
"235",2267,3650
"236",2057,3769
"237",1916,3713
"238",1920,3724
"239",1852,3616
"240",1895,3681
"241",1810,3636
"242",1807,3617
"243",1781,3765
"244",1979,3684
"245",1992,3656
"246",1926,3762
"247",1721,3758
"248",1871,3754
"249",1942,3675
"250",1891,3700
"251",1354,3569
"252",1650,3814
"253",1981,3636
"254",2187,3711
"255",2117,3745
"256",1682,3663
"257",1864,3683
"258",2106,3678
"259",2123,3750
"260",1962,3593
"261",2126,3762
"262",2087,3748
"263",2143,3738
"264",2103,3783
"265",2089,3751
"266",1992,3737
"267",1572,3754
"268",2043,3704
"269",2219,3715
"270",2056,3665
"271",2250,3765
"272",2049,3645
"273",2004,3608
"274",1928,3598
"275",2235,3814
"276",2034,3733
"277",1774,3626
"278",1688,3776
"279",1973,3785
"280",1917,3642
"281",1923,3689
"282",1852,3770
"283",1723,3601
"284",1991,3782
"285",2079,3707
"286",1733,3724
"287",2154,3734
"288",2043,3776
"289",1922,3734
"290",1828,3524
"291",1787,3716
"292",1983,3699
"293",2070,3723
"294",2098,3595
"295",1796,3725
"296",1914,3623
"297",1913,3803
"298",2266,3728
"299",1810,3766
"300",1835,3665
"301",1801,3643
"302",2024,3671
"303",2055,3673
"304",1864,3637
"305",1809,3671
"306",2090,3672
"307",1815,3648
"308",2074,3723
"309",2049,3675
"310",1801,3654
"311",2024,3719
"312",1819,3647
"313",1577,3687
"314",1881,3774
"315",1852,3783
"316",1896,3731
"317",1813,3655
"318",1774,3677
"319",1973,3691
"320",1735,3590
"321",2207,3681
"322",1792,3793
"323",1865,3666
"324",1947,3723
"325",1900,3714
"326",1765,3710
"327",2010,3780
"328",1633,3721
"329",2018,3706
"330",2022,3734
"331",2052,3755
"332",2248,3861
"333",1832,3720
"334",2072,3790
"335",1822,3783
"336",1825,3749
"337",1666,3762
"338",1882,3672
"339",1805,3718
"340",1920,3684
"341",1813,3736
"342",2004,3668
"343",1682,3719
"344",1913,3697
"345",2011,3564
"346",1889,3683
"347",2029,3832
"348",2031,3831
"349",1905,3669
"350",1784,3710
"351",1926,3714
"352",2020,3666
"353",2059,3768
"354",2008,3784
"355",1937,3774
"356",2074,3806
"357",2043,3688
"358",2108,3679
"359",2009,3669
"360",2041,3718
"361",2004,3765
"362",1592,3587
"363",2093,3787
"364",2029,3660
"365",1996,3727
"366",1993,3819
"367",1996,3740
"368",1887,3674
"369",2159,3713
"370",1667,3746
"371",1851,3682
"372",1754,3671
"373",1998,3667
"374",1936,3784
"375",1854,3695
"376",2127,3639
"377",2072,3771
"378",1913,3782
"379",2173,3743
"380",2173,3736
"381",1738,3769
"382",1947,3757
"383",1996,3681
"384",1738,3794
"385",2052,3747
"386",1929,3797
"387",1759,3665
"388",2001,3704
"389",1843,3704
"390",1951,3690
"391",2053,3626
"392",1683,3738
"393",2052,3606
"394",2010,3685
"395",2201,3734
"396",1996,3667
"397",2094,3815
"398",2150,3634
"399",2041,3671
"400",2132,3739
"401",1753,3687
"402",1880,3648
"403",2093,3683
"404",1923,3690
"405",1889,3866
"406",1963,3717
"407",2053,3728
"408",1563,3750
"409",2307,3730
"410",2153,3565
"411",1974,3817
"412",2078,3782
"413",2403,3816
"414",2063,3737
"415",2072,3739
"416",1950,3598
"417",1976,3752
"418",1769,3680
"419",1963,3649
"420",1802,3751
"421",2184,3681
"422",1863,3650
"423",1611,3696
"424",1914,3708
"425",2249,3708
"426",1854,3768
"427",1967,3729
"428",1971,3784
"429",1758,3701
"430",2084,3650
"431",1867,3681
"432",1833,3684
"433",2016,3712
"434",1859,3792
"435",1980,3706
"436",2043,3715
"437",1938,3680
"438",1928,3754
"439",1831,3655
"440",2104,3652
"441",1975,3648
"442",1937,3653
"443",2024,3692
"444",1794,3752
"445",1750,3767
"446",1644,3798
"447",1903,3620
"448",1632,3691
"449",1488,3739
"450",1545,3723
"451",1980,3775
"452",2073,3708
"453",2000,3666
"454",2153,3646
"455",1794,3720
"456",1804,3685
"457",2020,3708
"458",1819,3729
"459",2017,3705
"460",2056,3699
"461",1930,3705
"462",2077,3817
"463",1888,3736
"464",1929,3679
"465",1929,3687
"466",1799,3551
"467",1801,3652
"468",1795,3674
"469",1851,3641
"470",1959,3750
"471",1955,3670
"472",2076,3719
"473",2022,3767
"474",1914,3529
"475",2151,3728
"476",1749,3678
"477",2134,3602
"478",1721,3665
"479",2041,3687
"480",1823,3640
"481",1986,3731
"482",2286,3741
"483",1908,3668
"484",1880,3726
"485",2022,3737
"486",1907,3713
"487",2010,3663
"488",2022,3679
"489",2066,3865
"490",1906,3653
"491",1949,3750
"492",1859,3837
"493",1899,3711
"494",1870,3647
"495",1847,3870
"496",1794,3715
"497",1744,3622
"498",2043,3677
"499",2014,3688
"500",1724,3524
"501",1861,3793
