"","Mthin","Nthin"
"1",648,1836
"2",668,1894
"3",691,1825
"4",828,1822
"5",791,1869
"6",679,1791
"7",796,1806
"8",963,1777
"9",619,1799
"10",765,1890
"11",496,1799
"12",546,1830
"13",631,1842
"14",774,1780
"15",707,1759
"16",927,1876
"17",823,1841
"18",678,1757
"19",432,1741
"20",827,1801
"21",665,1859
"22",888,1808
"23",832,1784
"24",764,1753
"25",600,1693
"26",876,1804
"27",765,1849
"28",659,1767
"29",804,1824
"30",705,1843
"31",830,1837
"32",750,1773
"33",923,1860
"34",703,1778
"35",673,1824
"36",765,1832
"37",885,1798
"38",691,1759
"39",619,1804
"40",693,1781
"41",776,1833
"42",533,1737
"43",782,1826
"44",740,1794
"45",841,1797
"46",697,1864
"47",653,1872
"48",583,1820
"49",667,1823
"50",613,1857
"51",544,1842
"52",762,1769
"53",633,1841
"54",769,1832
"55",748,1808
"56",710,1808
"57",808,1823
"58",808,1818
"59",723,1750
"60",724,1755
"61",780,1790
"62",761,1773
"63",749,1831
"64",838,1763
"65",696,1819
"66",878,1792
"67",911,1870
"68",553,1834
"69",661,1810
"70",538,1738
"71",782,1862
"72",665,1822
"73",682,1808
"74",764,1794
"75",701,1760
"76",529,1822
"77",574,1828
"78",580,1819
"79",666,1829
"80",687,1753
"81",880,1792
"82",584,1778
"83",845,1799
"84",660,1702
"85",587,1783
"86",725,1805
"87",745,1809
"88",807,1772
"89",830,1798
"90",616,1787
"91",624,1812
"92",791,1838
"93",625,1833
"94",494,1754
"95",650,1822
"96",742,1766
"97",730,1844
"98",729,1797
"99",945,1778
"100",452,1754
"101",550,1734
"102",758,1828
"103",620,1854
"104",692,1773
"105",727,1802
"106",662,1777
"107",608,1801
"108",649,1821
"109",685,1810
"110",569,1756
"111",754,1777
"112",672,1789
"113",929,1808
"114",769,1809
"115",825,1784
"116",933,1791
"117",552,1781
"118",721,1739
"119",678,1795
"120",518,1824
"121",711,1857
"122",669,1798
"123",833,1869
"124",618,1757
"125",796,1847
"126",580,1768
"127",740,1813
"128",876,1804
"129",601,1811
"130",799,1861
"131",642,1861
"132",798,1785
"133",744,1760
"134",776,1811
"135",769,1822
"136",884,1742
"137",924,1802
"138",872,1841
"139",653,1780
"140",617,1850
"141",867,1725
"142",862,1831
"143",462,1775
"144",649,1807
"145",769,1806
"146",648,1775
"147",646,1817
"148",732,1778
"149",677,1816
"150",938,1793
"151",735,1826
"152",651,1789
"153",628,1784
"154",498,1804
"155",618,1784
"156",574,1860
"157",825,1791
"158",820,1869
"159",554,1832
"160",585,1809
"161",490,1774
"162",658,1846
"163",523,1804
