"","Mthin","Nthin"
"1",4574,9358
"2",4329,9643
"3",4360,9375
"4",4182,9266
"5",4182,9451
"6",3918,9287
"7",4686,9574
"8",4089,9508
"9",4259,9375
"10",4307,9425
"11",4317,9633
"12",4036,9426
"13",3983,9497
"14",3963,9523
"15",4475,9381
"16",4184,9334
"17",4578,9602
"18",4354,9522
"19",4277,9329
"20",3897,9374
"21",4377,9431
"22",4298,9563
"23",4318,9446
"24",3896,9392
"25",4440,9321
"26",3851,9182
"27",4628,9436
"28",4230,9540
"29",4371,9352
"30",4325,9482
"31",4349,9526
"32",4137,9513
"33",3909,9365
"34",3889,9564
"35",4340,9377
"36",4236,9404
"37",4499,9635
"38",4373,9423
"39",4360,9333
"40",4058,9436
"41",3862,9372
"42",4343,9450
"43",3956,9283
"44",4415,9486
"45",4266,9413
"46",4266,9421
"47",4765,9574
"48",4070,9592
"49",3818,9473
"50",4121,9480
"51",4192,9558
"52",3943,9524
"53",4073,9357
"54",4479,9522
"55",4050,9512
"56",4447,9557
"57",4128,9331
"58",4619,9445
"59",3857,9479
"60",4461,9268
"61",4080,9490
"62",4542,9413
"63",4571,9545
"64",4150,9561
"65",4281,9488
"66",4178,9489
"67",4106,9498
"68",4290,9318
"69",3824,9365
"70",4202,9359
"71",4047,9286
"72",4319,9607
"73",4489,9414
"74",4142,9636
"75",4919,9525
"76",4952,9476
"77",4011,9345
"78",3908,9512
"79",4222,9501
"80",4761,9271
"81",4344,9320
"82",4699,9379
"83",3805,9292
"84",4111,9355
"85",3944,9356
"86",3991,9351
"87",4073,9329
"88",4145,9525
"89",4366,9423
"90",4717,9572
"91",3609,9299
"92",3882,9403
"93",4380,9448
"94",4164,9446
"95",4610,9537
"96",4235,9203
"97",4476,9471
"98",3890,9560
"99",4094,9479
"100",4811,9632
"101",4201,9571
"102",4268,9436
"103",4284,9381
"104",4674,9445
"105",4153,9274
"106",4140,9419
"107",4562,9500
"108",4080,9334
"109",4473,9427
"110",4396,9381
"111",4174,9494
"112",4198,9541
"113",4360,9415
"114",4176,9355
"115",4206,9696
"116",4473,9487
"117",4379,9456
"118",3811,9371
"119",3910,9479
"120",4068,9364
"121",4369,9631
"122",4594,9542
"123",4269,9499
"124",4187,9303
"125",4191,9518
"126",4275,9490
"127",4273,9535
"128",4277,9483
"129",4154,9360
"130",4231,9575
"131",4380,9586
"132",3936,9475
"133",4238,9476
"134",4081,9443
"135",4475,9484
"136",4446,9342
"137",4469,9529
"138",4501,9426
"139",4272,9298
"140",4430,9429
"141",3983,9491
"142",4723,9291
"143",4194,9499
"144",4161,9370
"145",4407,9500
"146",3972,9413
"147",4137,9450
"148",4002,9176
"149",4028,9632
"150",4302,9428
"151",4150,9526
"152",4372,9427
"153",3975,9352
"154",4254,9272
"155",4765,9564
"156",3907,9418
"157",4455,9318
"158",4607,9493
"159",4655,9618
"160",4091,9435
"161",4196,9449
"162",4608,9529
"163",4428,9301
"164",4418,9506
"165",4246,9443
"166",4246,9338
"167",4363,9527
"168",4589,9307
"169",4284,9527
"170",4178,9344
"171",4707,9409
"172",4396,9486
"173",4052,9320
"174",4226,9399
"175",4390,9393
"176",4246,9253
"177",4354,9386
"178",4270,9383
"179",4514,9477
"180",4129,9492
"181",4214,9434
"182",4021,9457
"183",4176,9382
"184",4778,9485
"185",3917,9235
"186",4176,9498
"187",4379,9404
"188",4127,9395
"189",4042,9482
"190",3970,9357
"191",4454,9337
"192",4004,9426
"193",4104,9432
"194",4211,9411
"195",3900,9457
"196",4814,9483
"197",4313,9588
"198",4128,9548
"199",4433,9593
"200",4396,9631
"201",4212,9422
"202",3845,9476
"203",4308,9397
"204",4436,9417
"205",3723,9325
"206",4483,9692
"207",4450,9472
"208",4360,9446
"209",4410,9256
"210",4799,9482
"211",3989,9433
"212",4540,9490
"213",4123,9544
"214",4214,9525
"215",4214,9388
"216",4050,9520
"217",5273,9615
"218",4189,9415
"219",4450,9578
"220",3974,9328
"221",4178,9471
"222",4418,9460
"223",4260,9341
"224",4330,9439
"225",3878,9428
"226",4173,9500
"227",4426,9315
"228",3975,9474
"229",4051,9442
"230",3755,9435
"231",3765,9412
"232",4235,9477
"233",4439,9376
"234",3970,9470
"235",4525,9513
"236",4415,9383
"237",4109,9387
"238",3924,9427
"239",4201,9495
"240",3721,9547
"241",4266,9394
"242",4123,9645
"243",4217,9492
"244",4504,9515
"245",4680,9389
"246",4349,9303
"247",4586,9466
"248",4876,9397
"249",4438,9519
"250",4097,9355
"251",3230,9213
"252",3818,9590
"253",4283,9378
"254",4650,9439
"255",4500,9596
"256",3959,9477
"257",4125,9427
"258",4065,9330
"259",4384,9233
"260",3753,9428
"261",4095,9513
"262",4497,9221
"263",4480,9482
"264",3983,9554
"265",4497,9503
"266",4133,9482
"267",3977,9508
"268",4599,9486
"269",4561,9447
"270",4216,9366
"271",4453,9525
"272",4457,9334
"273",4154,9276
"274",4370,9259
"275",4315,9377
"276",4609,9475
"277",4022,9305
"278",4258,9351
"279",4010,9606
"280",4384,9598
"281",3870,9424
"282",4199,9459
"283",3965,9264
"284",4079,9553
"285",4272,9432
"286",4016,9461
"287",4640,9476
"288",4397,9543
"289",4132,9477
"290",3928,9141
"291",3950,9448
"292",4375,9421
"293",3865,9404
"294",4462,9255
"295",3983,9462
"296",4450,9529
"297",4219,9586
"298",4546,9466
"299",4172,9527
"300",3953,9366
"301",3925,9331
"302",4410,9376
"303",4208,9378
"304",4590,9612
"305",3944,9376
"306",4556,9378
"307",3852,9339
"308",4348,9458
"309",4348,9382
"310",4540,9459
"311",4758,9453
"312",4262,9337
"313",4280,9401
"314",4354,9540
"315",4165,9555
"316",4208,9472
"317",4475,9351
"318",4161,9352
"319",4225,9407
"320",4342,9247
"321",4153,9392
"322",4014,9570
"323",4407,9368
"324",4441,9458
"325",4109,9444
"326",3805,9439
"327",4337,9549
"328",4136,9456
"329",4192,9432
"330",4028,9476
"331",4618,9509
"332",4995,9678
"333",4089,9454
"334",4417,9565
"335",4530,9555
"336",4027,9500
"337",3941,9521
"338",4332,9377
"339",4316,9451
"340",4109,9396
"341",4507,9479
"342",4344,9370
"343",3643,9453
"344",4122,9418
"345",4230,9205
"346",3965,9395
"347",4542,9632
"348",4546,9631
"349",4096,9372
"350",4493,9439
"351",4142,9445
"352",4221,9368
"353",4341,9530
"354",4229,9556
"355",4593,9540
"356",4505,9591
"357",4439,9403
"358",4582,9388
"359",4369,9373
"360",4173,9451
"361",4722,9525
"362",3932,9242
"363",4106,9560
"364",4630,9277
"365",4216,9464
"366",4209,9611
"367",4217,9487
"368",4127,9380
"369",4104,9487
"370",3900,9413
"371",4226,9394
"372",4093,9375
"373",4003,9370
"374",4313,9556
"375",4094,9414
"376",4688,9324
"377",4396,9500
"378",4291,9553
"379",4309,9491
"380",4309,9480
"381",4000,9532
"382",4267,9513
"383",4127,9392
