"","Mthin","Nthin"
"1",2667,5037
"2",2318,5166
"3",2012,5264
"4",2522,5148
"5",2281,5143
"6",2724,5222
"7",2438,5134
"8",2336,5115
"9",2457,5067
"10",2491,5104
"11",2651,5257
"12",2295,5105
"13",2257,5157
"14",2634,5176
"15",2585,5071
"16",2415,5036
"17",2696,5234
"18",2535,5175
"19",2309,5033
"20",2038,5066
"21",2716,5108
"22",2642,5205
"23",2694,5119
"24",2552,5079
"25",2629,5027
"26",2209,4925
"27",2763,5112
"28",2479,5189
"29",2579,5050
"30",2545,5146
"31",2562,5178
"32",2411,5168
"33",2248,5060
"34",2234,5206
"35",2310,5068
"36",2525,5088
"37",2713,5258
"38",2479,5102
"39",2470,5036
"40",2255,5112
"41",2116,5065
"42",2612,5122
"43",1975,4999
"44",2339,5149
"45",2187,5026
"46",2674,5101
"47",2155,5214
"48",2500,5227
"49",2113,5139
"50",2329,5144
"51",2209,5201
"52",2225,5177
"53",2318,5054
"54",2608,5175
"55",2302,5168
"56",2584,5201
"57",2350,5035
"58",2701,5119
"59",2158,5143
"60",2261,4988
"61",2628,5152
"62",2632,5095
"63",2653,5192
"64",2353,5204
"65",2446,5150
"66",2633,5151
"67",2328,5157
"68",2857,5224
"69",2214,5059
"70",2485,5055
"71",2375,5002
"72",2569,5238
"73",2270,5096
"74",2306,5259
"75",2860,5177
"76",2884,5141
"77",2214,5045
"78",2207,5168
"79",2431,5159
"80",2148,4990
"81",2283,5027
"82",2764,5070
"83",2237,5006
"84",2091,5052
"85",2372,5053
"86",2149,5049
"87",2502,5033
"88",2553,5178
"89",2711,5102
"90",2768,5212
"91",1978,5011
"92",2172,5087
"93",2527,5120
"94",2373,5119
"95",2692,5186
"96",2425,4940
"97",2432,5138
"98",2135,5203
"99",2280,5144
"100",2734,5256
"101",2299,5211
"102",2366,5112
"103",2377,5071
"104",2655,5119
"105",2285,4992
"106",2404,5099
"107",2148,5159
"108",2345,5037
"109",2642,5106
"110",2923,5088
"111",2055,5154
"112",2471,5189
"113",2527,5097
"114",2396,5052
"115",2518,5303
"116",2567,5149
"117",2580,5127
"118",2143,4981
"119",2213,5143
"120",2326,5059
"121",2397,5093
"122",2557,5083
"123",2326,5158
"124",2433,5014
"125",2436,5172
"126",2661,5151
"127",2269,5185
"128",2614,5146
"129",2526,5056
"130",2397,5214
"131",2132,5076
"132",2256,5141
"133",2471,5141
"134",2360,5117
"135",2641,5147
"136",2633,5043
"137",2648,5180
"138",2559,5105
"139",2510,5010
"140",2624,5107
"141",2306,5153
"142",2703,5005
"143",2345,5158
"144",2322,5064
"145",2944,5159
"146",2149,5095
"147",2267,5122
"148",2077,5033
"149",2452,5256
"150",2280,5106
"151",2410,5178
"152",2310,5105
"153",2244,5164
"154",2444,4991
"155",2809,5206
"156",2198,5099
"157",2589,5025
"158",2751,5154
"159",2400,5246
"160",2336,5111
"161",2411,5121
"162",1936,5147
"163",2411,5013
"164",2404,5065
"165",2485,5117
"166",2185,5040
"167",2814,5178
"168",2975,5215
"169",2685,5179
"170",2507,5044
"171",2742,5092
"172",2521,5148
"173",2465,5027
"174",2390,5085
"175",2507,5080
"176",2405,4977
"177",2485,5075
"178",2425,5073
"179",2727,5142
"180",2453,5153
"181",2513,5110
"182",2375,5128
"183",2485,5072
"184",2914,5148
"185",2224,4964
"186",2468,5158
"187",2548,5088
"188",2478,5082
"189",2137,5145
"190",2683,5053
"191",2007,5039
"192",2266,5104
"193",2331,5109
"194",2407,5093
"195",2185,5127
"196",2837,5147
"197",2479,5224
"198",2346,5194
"199",2563,5227
"200",2646,5256
"201",2515,5102
"202",2253,5141
"203",2583,5083
"204",2394,5098
"205",2425,5126
"206",2208,5300
"207",2320,5138
"208",2497,5187
"209",2314,4942
"210",2278,5117
"211",2384,4955
"212",2306,5036
"213",2337,5165
"214",2377,5147
"215",2497,5067
"216",2234,5024
"217",3251,5243
"218",2662,5070
"219",2690,5091
"220",2325,5150
"221",2325,5184
"222",2613,5100
"223",2500,5107
"224",2503,5147
"225",2149,5106
"226",2360,5060
"227",2541,5038
"228",2220,5112
"229",2280,5196
"230",2069,5111
"231",2076,5039
"232",2412,5181
"233",2322,4954
"234",2224,5066
"235",2371,5034
"236",2541,5125
"237",2323,5035
"238",2621,5172
"239",2389,5251
"240",2799,5123
"241",2436,5067
"242",2335,5077
"243",2968,5336
"244",2624,5258
