"","Mthin","Nthin"
"1",806,2624
"2",1091,2602
"3",603,2686
"4",858,2731
"5",798,2676
"6",897,2779
"7",792,2759
"8",877,2704
"9",701,2721
"10",857,2756
"11",720,2723
"12",852,2618
"13",864,2586
"14",723,2625
"15",927,2717
"16",933,2665
"17",942,2653
"18",937,2630
"19",873,2639
"20",734,2672
"21",824,2649
"22",742,2669
"23",491,2705
"24",900,2671
"25",708,2667
"26",933,2665
"27",907,2637
"28",802,2678
"29",869,2690
"30",531,2535
"31",860,2699
"32",927,2651
"33",740,2681
"34",800,2720
"35",761,2684
"36",793,2689
"37",723,2654
"38",918,2755
"39",803,2706
"40",773,2639
"41",807,2707
"42",871,2772
"43",759,2687
"44",913,2744
"45",801,2652
"46",975,2684
"47",861,2725
"48",619,2674
"49",752,2722
"50",677,2595
"51",823,2743
"52",529,2667
"53",907,2736
"54",712,2707
"55",977,2627
"56",673,2688
"57",634,2690
"58",972,2697
"59",790,2700
"60",764,2621
"61",1040,2698
"62",897,2561
"63",677,2647
"64",833,2669
"65",981,2685
"66",845,2674
"67",606,2660
"68",985,2669
"69",609,2676
"70",703,2670
"71",878,2635
"72",938,2781
"73",652,2681
"74",649,2739
"75",737,2601
"76",751,2717
"77",755,2771
"78",847,2610
"79",1011,2691
"80",740,2654
"81",791,2712
"82",1123,2766
"83",721,2643
"84",754,2665
"85",858,2708
"86",553,2603
"87",803,2586
"88",1188,2674
"89",948,2720
"90",912,2637
"91",881,2586
"92",798,2706
"93",1008,2740
"94",695,2724
"95",1001,2704
"96",843,2691
"97",895,2676
"98",871,2671
"99",748,2673
"100",929,2658
"101",777,2655
"102",671,2702
"103",606,2742
"104",930,2701
"105",832,2683
"106",732,2720
"107",864,2677
"108",809,2671
"109",1025,2633
"110",898,2814
"111",655,2693
"112",810,2622
"113",881,2622
"114",823,2665
"115",924,2657
"116",709,2666
"117",737,2748
"118",672,2741
"119",806,2666
"120",764,2660
"121",755,2699
"122",893,2656
"123",889,2670
"124",805,2663
"125",914,2650
"126",690,2643
"127",931,2736
"128",894,2605
"129",981,2630
"130",683,2698
"131",756,2688
"132",791,2684
"133",928,2615
"134",774,2678
"135",892,2763
"136",834,2692
"137",621,2658
"138",979,2716
"139",829,2778
"140",983,2650
"141",612,2686
"142",1002,2660
"143",734,2647
"144",607,2604
"145",657,2577
"146",1077,2693
"147",810,2652
"148",1067,2573
"149",764,2612
"150",991,2725
"151",696,2638
"152",773,2632
"153",783,2675
"154",859,2726
"155",575,2606
"156",572,2670
"157",982,2680
"158",1001,2714
"159",933,2775
"160",983,2762
"161",743,2639
"162",907,2652
"163",764,2721
"164",732,2679
"165",1054,2655
"166",894,2641
"167",864,2593
"168",1008,2673
"169",846,2761
"170",844,2673
"171",892,2606
"172",764,2679
"173",1069,2735
"174",1034,2588
"175",929,2673
"176",569,2720
"177",922,2653
"178",977,2718
"179",911,2755
"180",781,2601
"181",921,2665
"182",846,2645
"183",703,2685
"184",862,2740
"185",943,2718
"186",938,2676
