"","Mthin","Nthin"
"1",1307,2293
"2",1334,2351
"3",1258,2356
"4",1649,2442
"5",1197,2456
"6",1244,2410
"7",1770,2411
"8",1185,2382
"9",1389,2465
"10",1255,2333
"11",1230,2444
"12",1482,2386
"13",1284,2282
"14",1311,2400
"15",1156,2416
"16",1381,2455
"17",1239,2440
"18",1059,2366
"19",1511,2440
"20",1483,2430
"21",1470,2362
"22",1334,2392
"23",1423,2340
"24",1144,2240
"25",1284,2487
"26",1251,2263
"27",1420,2302
"28",1351,2424
"29",1410,2371
"30",1310,2290
"31",1202,2366
"32",1195,2335
"33",1435,2361
"34",1385,2436
"35",1101,2372
"36",1524,2401
"37",1379,2315
"38",1236,2367
"39",1143,2349
"40",1343,2400
"41",1321,2386
"42",1213,2443
"43",1360,2355
"44",1360,2290
"45",1624,2354
"46",1298,2256
"47",1148,2364
"48",1292,2341
"49",1175,2374
"50",1224,2371
"51",1286,2416
"52",1066,2386
"53",1289,2367
"54",1358,2449
"55",1210,2354
"56",1487,2344
"57",1547,2417
"58",1548,2377
"59",1332,2347
"60",1454,2384
"61",1321,2410
"62",1269,2406
"63",1331,2352
"64",1455,2359
"65",1251,2411
"66",1603,2443
"67",1711,2411
"68",1352,2421
"69",1279,2436
"70",1518,2315
"71",1330,2331
"72",1420,2365
"73",1669,2411
"74",1640,2359
"75",1544,2358
"76",1329,2378
"77",1354,2335
"78",1166,2408
"79",1255,2316
"80",1576,2356
"81",1241,2349
"82",1144,2290
"83",1120,2429
"84",1550,2421
"85",1240,2404
"86",1274,2414
"87",1379,2460
"88",1345,2393
"89",1389,2383
"90",1134,2304
"91",1249,2392
"92",1147,2305
"93",1358,2304
"94",1504,2260
"95",1136,2301
"96",1394,2404
"97",1173,2340
"98",1635,2465
"99",1238,2324
"100",1492,2392
"101",1289,2406
"102",1473,2394
"103",1236,2364
"104",1136,2395
"105",1320,2280
"106",1371,2367
"107",1463,2371
"108",1302,2378
"109",1240,2329
"110",1328,2336
"111",1404,2389
"112",1330,2270
"113",1399,2370
"114",1431,2356
"115",1386,2377
"116",959,2278
"117",1356,2343
"118",1271,2368
"119",1349,2393
"120",1274,2410
"121",1366,2398
"122",1328,2422
"123",1544,2359
"124",1313,2394
"125",1312,2416
"126",1313,2390
"127",1549,2329
"128",1083,2436
