"","Mthin","Nthin"
"1",2364,5954
"2",2093,6181
"3",2112,5967
"4",2002,5880
"5",2008,6028
"6",1845,5897
"7",2164,6126
"8",2043,6073
"9",2147,5967
"10",2110,6007
"11",2116,6173
"12",1658,6008
"13",1945,6065
"14",1933,6085
"15",2249,5972
"16",2101,5934
"17",2344,6148
"18",2205,6084
"19",1885,5930
"20",1953,5966
"21",2248,6012
"22",2183,6117
"23",2247,6024
"24",2339,5981
"25",2188,5924
"26",1825,5813
"27",2304,6016
"28",2059,6099
"29",2146,5949
"30",2274,6052
"31",2053,6088
"32",2300,6077
"33",1891,5960
"34",2540,6118
"35",2054,5968
"36",2168,5990
"37",2330,6175
"38",2128,6005
"39",2118,5934
"40",1956,6016
"41",1835,5965
"42",2265,6027
"43",1714,5894
"44",1983,6056
"45",1853,5923
"46",2274,6004
"47",1957,6126
"48",1938,6141
"49",1783,6046
"50",1970,6051
"51",1953,6113
"52",1800,6086
"53",2057,5953
"54",1772,6085
"55",2060,6076
"56",1926,6112
"57",2102,5932
"58",2241,6023
"59",2319,6050
"60",2129,5881
"61",2579,6059
"62",2306,5997
"63",2325,6103
"64",2065,6116
"65",2146,6058
"66",2308,6058
"67",2044,6065
"68",2502,6137
"69",1946,5959
"70",2179,5954
"71",2039,5897
"72",1744,6152
"73",2108,5998
"74",2224,6176
"75",2547,6087
"76",2610,6047
"77",2030,5943
"78",1966,6077
"79",2160,6067
"80",1915,5884
"81",2031,5924
"82",2446,5971
"83",1992,5901
"84",1758,5951
"85",2001,5952
"86",2338,5948
"87",1999,5930
"88",2044,6087
"89",2180,6005
"90",2396,6124
"91",1712,5907
"92",1648,5989
"93",2022,6025
"94",1887,6024
"95",2418,6097
"96",2351,5830
"97",2285,6044
"98",1924,6115
"99",1927,6050
"100",2528,6173
"101",2152,6124
"102",1848,6016
"103",2388,5972
"104",2084,6023
"105",2133,5886
"106",2212,6102
"107",2240,6067
"108",1986,5934
"109",1644,6009
"110",2432,5972
"111",1842,6062
"112",2201,6099
"113",1668,5999
"114",2093,5951
"115",2003,6223
"116",2249,6056
"117",2261,6032
"118",1883,5964
"119",1817,6050
"120",1915,5958
"121",2191,6172
"122",2330,5984
"123",2130,6066
"124",2080,5910
"125",2083,6081
"126",2277,6059
"127",2253,6095
"128",2025,6053
"129",2329,5955
"130",2217,6127
"131",1767,5977
"132",1841,6047
"133",2027,6048
"134",1660,6022
"135",1738,6054
"136",2341,5941
"137",2176,6090
"138",2526,6008
"139",2385,5905
"140",2193,5966
"141",2197,6060
"142",2268,5900
"143",2196,6066
"144",2012,5963
"145",2550,6067
"146",1862,5998
"147",1964,6027
"148",1802,6137
"149",2126,6172
"150",1977,6010
"151",2090,6088
"152",2003,6008
"153",1945,6073
"154",2117,5885
"155",2297,6118
"156",1768,6002
"157",2106,5922
"158",2153,6062
"159",2005,6161
"160",1950,6015
"161",2190,6026
"162",2227,6090
"163",2227,5908
"164",2220,5965
"165",2020,6021
"166",1829,5938
"167",2500,6088
"168",2528,6127
"169",2278,6088
"170",2124,5942
"171",2327,5995
"172",2230,6056
"173",2018,5923
"174",2065,5987
"175",2166,5982
"176",2078,5870
"177",2146,5976
"178",2094,5974
"179",2355,6049
"180",2118,6061
"181",2170,6014
"182",2051,6033
"183",2145,5973
"184",2500,6055
"185",1903,5856
"186",1746,6066
"187",2088,5990
"188",2254,5983
"189",1903,6052
"190",1859,5953
"191",2158,5937
"192",1962,6008
"193",2183,6013
"194",2094,5996
"195",1902,6032
"196",2466,6054
"197",2156,6137
"198",2502,6105
"199",1893,6141
"200",2191,6172
"201",2077,6005
"202",1851,6048
"203",2136,5985
"204",2060,6001
"205",1620,5927
"206",2229,6220
"207",2209,6045
"208",2106,6097
"209",2169,6054
"210",2117,6022
"211",2103,5846
"212",1781,5934
"213",2070,6074
"214",2105,6054
"215",1969,5967
"216",1998,5920
"217",2810,6159
"218",2301,5971
"219",2632,5994
"220",2038,6058
"221",2038,6094
"222",2289,6003
"223",2192,6010
"224",1865,6054
"225",1820,6009
"226",2262,5959
"227",2172,5935
"228",1894,6016
"229",1939,6107
"230",1761,6015
"231",1767,5937
"232",2058,6091
"233",1981,5845
"234",1896,5966
"235",2024,5931
"236",2172,6030
"237",2189,5933
"238",2288,6081
"239",2267,6167
"240",2168,5999
"241",1973,5967
"242",2130,5978
"243",2003,5956
"244",2479,6121
"245",2410,5968
"246",2239,6080
"247",2273,6102
"248",2451,5968
"249",2045,5879
"250",1988,5986
"251",2300,5838
"252",1724,6023
"253",2103,5949
"254",2399,6091
"255",2286,5771
"256",1804,5957
"257",1839,6050
"258",2113,6041
"259",1798,6007
"260",1827,6062
"261",2294,6066
"262",2242,5975
"263",2234,6001
"264",1959,6062
"265",2277,6027
"266",2421,6055
"267",1880,6086
"268",1874,5994
"269",2269,6116
"270",2347,5916
"271",1988,6002
"272",2202,6044
"273",2106,6129
"274",2139,5986
"275",2223,6000
"276",2055,5893
"277",1967,5847
"278",2180,5995
"279",2064,6091
"280",1950,6037
"281",2087,5901
"282",2290,5995
"283",1921,5990
"284",2303,6089
"285",2085,6145
"286",1851,5975
"287",2312,6011
"288",1809,6012
"289",1999,6127
"290",2284,6162
"291",2029,5942
"292",2209,5972
"293",2083,6072
"294",2097,5885
"295",2067,6139
"296",1990,6090
"297",1903,6070
"298",2039,6078
"299",2233,6008
"300",2122,6168
"301",1950,6028
"302",1918,5977
"303",2255,6060
"304",2148,5966
"305",2072,5914
"306",2523,6045
"307",2082,6014
"308",2100,6118
"309",2193,5974
"310",1875,5887
"311",2443,6022
"312",2062,5902
"313",2073,5877
"314",2173,5989
"315",2045,5953
"316",2101,5940
"317",1627,6064
"318",1914,6055
"319",2331,6003
"320",2150,6021
"321",2031,5904
"322",1833,5928
"323",1931,6012
"324",2059,5999
"325",1999,6077
"326",1812,5884
"327",2415,6092
"328",2015,6083
"329",2148,6007
"330",2117,5909
"331",2087,5956
"332",2334,5819
"333",2074,6111
"334",2265,6084
"335",1768,5932
"336",1648,5956
"337",2178,5915
"338",2151,5939
"339",2004,6032
"340",1917,6035
"341",1968,6022
"342",2058,5886
"343",1948,5968
"344",2102,6026
"345",2209,6112
"346",2005,6041
"347",1879,6134
"348",2287,6138
"349",1962,6076
"350",2268,6102
"351",2012,5931
"352",2177,5921
"353",2148,6132
"354",2188,6105
"355",2075,6133
"356",2258,6140
"357",2190,6048
"358",2004,6082
"359",2030,6047
"360",2054,5991
"361",1741,5914
"362",1920,5861
"363",2272,6038
"364",2078,6015
"365",2390,6075
"366",2330,6029
"367",2233,6005
"368",1954,6015
"369",2074,5907
"370",1897,6027
"371",1751,6005
"372",2018,6090
"373",1962,5926
"374",2154,5973
"375",2149,5888
"376",2379,5927
"377",1916,5923
"378",2166,5873
"379",2121,6043
"380",2178,6042
"381",1838,5984
"382",2181,5871
"383",2094,6050
"384",1920,6034
"385",1751,6064
"386",1916,6032
"387",1872,5726
"388",2198,6007
"389",1987,6047
"390",2233,6002
"391",2090,5945
"392",2090,5979
"393",2670,6048
"394",2222,6013
"395",2069,6035
"396",1827,5965
"397",2224,6032
"398",2299,6000
"399",1978,6067
"400",2105,6073
"401",2097,5863
"402",2071,6035
"403",2275,5940
"404",1711,6126
"405",2072,5969
"406",2099,5992
"407",2296,6039
"408",1727,6031
"409",2625,6192
"410",2417,5923
"411",2175,6067
"412",2166,6090
"413",2686,6152
"414",2304,6076
"415",2166,6054
"416",2003,5945
"417",1907,5998
"418",2089,5981
"419",2306,5937
"420",1817,6081
"421",1981,5981
"422",2052,6053
"423",1808,6109
"424",2120,6055
"425",2147,6041
"426",1736,6117
"427",1949,6014
"428",2137,5838
"429",1851,5942
"430",2123,6151
"431",2195,5980
"432",2023,6011
"433",1998,5931
"434",2115,5961
"435",1822,6051
"436",2678,6196
"437",2037,6062
"438",2063,5982
"439",2070,5990
"440",2138,5944
"441",2036,5976
"442",2039,5987
"443",1739,5954
"444",1711,5947
"445",1807,5961
"446",1787,6070
"447",1865,6014
"448",2072,5906
"449",1804,5937
"450",1880,6118
"451",1678,5967
"452",2324,6015
"453",2225,5931
"454",1944,6151
"455",1952,5948
"456",2206,5945
"457",1989,6141
"458",1860,6136
"459",2104,5922
"460",1897,5943
"461",1905,6053
"462",2571,6039
"463",1896,6162
"464",2316,6178
"465",2137,6053
"466",2029,5993
"467",1782,6028
