"","Mthin","Nthin"
"1",1476,4628
"2",1495,4444
"3",1391,4368
"4",1396,4496
"5",1699,4586
"6",1588,4466
"7",1398,4430
"8",1939,4472
"9",1324,4489
"10",1628,4352
"11",1739,4436
"12",1340,4511
"13",1328,4469
"14",1627,4389
"15",1487,4523
"16",1565,4496
"17",1586,4479
"18",1400,4544
"19",1656,4500
"20",1628,4505
"21",1567,4486
"22",1478,4425
"23",1162,4452
"24",1574,4562
"25",1230,4538
"26",1400,4488
"27",1358,4552
"28",1728,4492
"29",1487,4391
"30",1480,4510
"31",1356,4465
"32",1325,4488
"33",1940,4607
"34",1480,4525
"35",1589,4483
"36",1743,4623
"37",1551,4544
"38",1544,4427
"39",1806,4540
"40",1474,4418
"41",1361,4532
"42",1244,4513
"43",1409,4591
"44",1697,4470
"45",1685,4380
"46",1924,4468
"47",1522,4334
"48",1124,4482
"49",1301,4450
"50",1416,4496
"51",1342,4491
"52",1418,4554
"53",1654,4512
"54",1403,4486
"55",1685,4599
"56",1389,4468
"57",1729,4455
"58",1803,4582
"59",1285,4400
"60",1225,4459
"61",1703,4470
"62",1720,4561
"63",1473,4572
"64",1549,4522
"65",1489,4522
"66",1446,4528
"67",1880,4591
"68",1353,4437
"69",1575,4433
"70",1443,4383
"71",1163,4604
"72",1508,4471
"73",1618,4624
"74",1924,4547
"75",1984,4513
"76",1435,4423
"77",1374,4538
"78",1557,4530
"79",1325,4372
"80",1434,4406
"81",1829,4447
"82",1397,4387
"83",1176,4430
"84",1407,4431
"85",1726,4427
"86",1405,4412
"87",1447,4547
"88",1576,4477
"89",1781,4579
"90",1134,4392
"91",1073,4463
"92",1428,4494
"93",1302,4493
"94",1805,4556
"95",1742,4325
"96",1679,4510
"97",1337,4572
"98",1340,4516
"99",1909,4621
"100",1551,4579
"101",1264,4486
"102",1774,4448
"103",1485,4492
"104",1531,4374
"105",1607,4560
"106",1470,4530
"107",1358,4415
"108",1726,4480
"109",1956,4448
"110",1245,4526
"111",1585,4558
"112",1080,4472
"113",1482,4430
"114",1582,4665
"115",1699,4521
"116",1526,4398
"117",1067,4457
"118",1420,4541
"119",1491,4501
"120",1365,4512
"121",1553,4424
"122",1316,4450
"123",1554,4471
"124",1556,4450
"125",1740,4515
"126",1422,4511
"127",1420,4500
"128",1709,4517
"129",1603,4445
"130",1800,4621
"131",1708,4514
"132",1542,4437
"133",1450,4547
"134",1680,4470
"135",1339,4455
"136",1751,4535
"137",1613,4477
"138",1573,4355
"139",1444,4401
"140",1379,4559
"141",1640,4362
"142",1436,4325
"143",1281,4564
"144",1672,4491
"145",1685,4489
"146",1165,4441
"147",1381,4506
"148",1524,4446
"149",1409,4505
"150",1741,4468
"151",1560,4520
"152",1328,4463
"153",1481,4440
"154",1577,4486
"155",1317,4455
"156",1227,4574
"157",1754,4466
"158",1745,4589
"159",1414,4530
"160",1475,4639
"161",1121,4439
"162",1475,4553
"163",1468,4486
"164",1535,4606
"165",1682,4440
"166",1805,4479
"167",1937,4391
"168",1637,4578
"169",1436,4553
"170",1204,4530
"171",1504,4573
"172",1522,4565
"173",1541,4488
"174",1613,4621
"175",1439,4514
"176",1686,4538
"177",1506,4496
"178",1786,4516
"179",1529,4507
"180",1579,4539
"181",1483,4586
"182",1555,4479
"183",1657,4472
"184",1326,4348
"185",1178,4474
"186",1502,4493
"187",1713,4454
"188",1493,4493
"189",1285,4513
"190",1568,4531
"191",1383,4385
"192",1365,4286
"193",1512,4401
"194",1199,4523
"195",1732,4348
"196",1438,4486
"197",1329,4545
"198",1508,4468
"199",1576,4415
"200",1469,4427
"201",1254,4384
"202",1352,4423
"203",1477,4480
"204",1477,4406
"205",1866,4662
"206",1349,4467
"207",1400,4645
"208",1558,4564
"209",1590,4492
"210",1489,4565
"211",1661,4563
"212",1454,4553
"213",1133,4349
"214",1455,4525
"215",1839,4642
"216",2075,4609
"217",1441,4615
"218",1594,4513
"219",1316,4551
"220",1435,4592
"221",1643,4560
"222",1599,4573
"223",1627,4506
"224",1227,4421
"225",1412,4576
"226",1115,4451
"227",1713,4515
"228",1167,4490
"229",1168,4615
"230",1874,4581
"231",1450,4368
"232",1318,4445
"233",1297,4512
"234",1621,4525
"235",1558,4591
"236",1574,4484
"237",1430,4513
"238",1479,4457
"239",1701,4469
"240",1250,4517
"241",1476,4540
"242",1323,4455
"243",1857,4576
"244",1610,4491
"245",1625,4534
"246",1598,4400
"247",1654,4535
"248",1442,4448
"249",1376,4476
"250",870,4332
"251",1245,4601
"252",1416,4405
"253",1856,4488
"254",1768,4525
"255",1215,4610
"256",1448,4457
"257",1561,4452
"258",1364,4531
"259",1253,4497
"260",1683,4469
"261",1633,4597
"262",1552,4497
"263",1364,4477
"264",1528,4450
"265",1366,4489
"266",1578,4537
"267",1685,4438
"268",1778,4545
"269",1669,4424
"270",1600,4408
"271",1390,4460
"272",1624,4425
"273",1075,4458
"274",1618,4623
"275",1478,4522
"276",1647,4557
"277",1511,4472
"278",1575,4573
"279",1715,4636
"280",1534,4538
"281",1610,4509
"282",1425,4420
"283",1528,4455
"284",1555,4286
"285",1191,4468
"286",1812,4460
"287",1583,4518
"288",1544,4521
"289",1577,4566
"290",1598,4516
"291",1505,4352
"292",1326,4504
"293",1431,4512
"294",1210,4509
"295",1443,4490
"296",1481,4415
"297",1828,4411
"298",1352,4510
"299",1605,4480
"300",1381,4488
"301",1519,4450
"302",1461,4463
"303",1742,4371
"304",1227,4407
"305",1584,4339
"306",1371,4479
"307",1569,4379
"308",1548,4434
"309",1617,4434
"310",1231,4641
"311",1428,4526
"312",1626,4480
"313",1205,4543
"314",1720,4517
"315",1469,4526
"316",1270,4461
"317",1556,4460
"318",1553,4482
"319",1250,4577
"320",1872,4479
"321",1531,4536
"322",1574,4593
"323",1460,4417
"324",1529,4380
"325",1223,4383
"326",1535,4611
"327",1443,4537
"328",1647,4420
"329",1448,4544
"330",1220,4481
"331",1938,4520
"332",1646,4492
"333",1673,4477
"334",1843,4554
"335",1226,4519
"336",1553,4591
"337",1347,4550
"338",1428,4506
"339",1491,4408
"340",1489,4457
"341",1358,4410
"342",1580,4521
"343",1581,4421
"344",1621,4516
"345",1738,4613
"346",1474,4505
"347",1421,4535
"348",1437,4561
"349",1693,4400
"350",1678,4409
"351",1539,4421
"352",1609,4476
"353",1618,4407
"354",1721,4438
"355",1661,4309
"356",1345,4524
"357",1549,4398
"358",1698,4500
"359",1760,4554
"360",1571,4386
"361",1331,4486
"362",1433,4421
"363",1429,4530
"364",1439,4532
"365",1531,4416
"366",1573,4529
"367",1435,4453
"368",1516,4459
"369",1556,4436
"370",1184,4386
"371",1470,4370
"372",1292,4509
