"","Mthin","wthin"
"1",2051,1.56357255685911
"2",2151,1.31124900693259
"3",2054,1.55713170167561
"4",2071,1.49651558344487
"5",2153,1.30123101215198
"6",2026,1.77067425222575
"7",2044,1.63030003286984
"8",2034,1.55788946500996
"9",2092,1.46114499019475
"10",2154,1.27475867778465
"11",2122,1.2821149577499
"12",2129,1.4285457539343
"13",2078,1.43796582117161
"14",2117,1.44915887320848
"15",2053,1.55125586631718
"16",2101,1.38352377302839
"17",2000,1.80280231065056
"18",1983,1.87329476288867
"19",2028,1.76365032031025
"20",2004,1.77089773308852
"21",1999,1.69061348995224
"22",2056,1.71478037462497
"23",2008,1.74059752879787
"24",2052,1.78053004023165
"25",2052,1.65684885094642
"26",2111,1.41103067001841
"27",2059,1.50392047358723
"28",1971,1.83619104829238
"29",2058,1.64366049624151
"30",2046,1.55921867501572
"31",2045,1.73461381879527
"32",2149,1.41361749928474
"33",2055,1.67025196337322
"34",2019,1.93456407863741
"35",1981,1.95247767164237
"36",2024,1.66693026208647
"37",2034,1.72357471614736
"38",2019,1.90164291028228
"39",2083,1.60462539699583
"40",2011,1.80894156917587
"41",1998,1.94331697097943
"42",2168,1.4227711898103
"43",2103,1.57883899509654
"44",2047,1.7150871105075
"45",1974,1.89120006674797
"46",2045,1.80506648315379
"47",2145,1.34040020897381
"48",2087,1.54880610009151
"49",2031,1.75229303748422
"50",2017,1.76436883095593
"51",2057,1.39974727492265
"52",1969,2.19863208746826
"53",2031,1.77108408468857
"54",2038,1.71656806690673
"55",2056,1.5116924168891
"56",2103,1.53739424579426
"57",2087,1.63685305297354
"58",2070,1.42502202515684
"59",2145,1.27909491222763
"60",2071,1.49982185521735
"61",2090,1.5883113459229
"62",2139,1.41119119658462
"63",2134,1.38184557206153
"64",2168,1.10104219359861
"65",2174,1.25853292154815
"66",2072,1.56684080585223
"67",2051,1.6416808358399
"68",2092,1.5333250153979
"69",2059,1.49291620755146
"70",2016,1.67416363398483
"71",2077,1.53065349863887
"72",1951,1.9365269285389
"73",2044,1.73998443980066
"74",2186,1.26848755227715
"75",2214,1.20891835386898
"76",2016,1.76807514582505
"77",2056,1.64069156182883
"78",2092,1.36763905207148
"79",2060,1.63262391346545
"80",2158,1.41929155606523
"81",2082,1.60250227069308
"82",2135,1.3583599159723
"83",2207,1.06497333313842
"84",2032,1.8418746896946
"85",2138,1.21239697002319
"86",2138,1.40552288898647
"87",2020,1.5829804029759
"88",2100,1.57619878330751
"89",2105,1.60489833486858
"90",2209,1.09425710223328
"91",2214,1.15909183221683
"92",2193,1.30729803087719
"93",2162,1.32950789224236
"94",2109,1.47059563720173
"95",2102,1.50725438442102
"96",1982,1.9100299943591
"97",2116,1.56083708671994
"98",2097,1.4930302639734
"99",2048,1.46955131797176
